,URLRating,DomainRating,IPFrom,ReferringPageURL,ReferringPageTitle,InternalLinksCount,ExternalLinksCount,LinkURL,TextPre,LinkAnchor,TextPost,Size,Type,NoFollow,Site-wide,Image,Encoding,Alt,FirstSeen,PreviousVisited,LastCheck,Original
407,35,75,151.101.37.63,https://www.entrepreneur.com/article/282077,SEO Growth Hacking Techniques to Scale Your Business,82,44,https://backlinko.com/google-keyword-planner,high traffic. The entire procedure can be done by laymen,by using Google keyword planner,. General rule of thumb -- focus on keywords that refer to,24778,href,True,False,False,utf8,,2017-09-19 03:23:04,2017-10-27 10:55:40,2017-10-27 12:35:06,False
466,34,75,192.230.81.42,https://moz.com/blog/moz-keyword-explorer-vs-google-keyword,Moz Keyword Explorer vs. Google Keyword Planner - Moz,94,31,https://backlinko.com/google-keyword-planner,"you need a Moz Keyword Explorer refresher , or a",Google Keyword Planner refresher,.,73278,href,False,False,False,utf8,,2017-09-21 14:37:12,2017-11-01 09:27:17,2017-11-04 16:17:40,False
1553,27,59,45.33.36.107,https://serps.com/library/guide-google-keyword-planner-seo/,Guide to Google Keyword Planner for SEO | SERPs.com,30,21,https://backlinko.com/google-keyword-planner,Backlinko:,How to Use the Google Keyword Planner,,24268,href,False,False,False,utf8,,2017-10-03 18:25:20,2017-10-29 17:17:26,2017-11-06 13:39:34,False
1630,27,70,46.229.161.160,https://www.semrush.com/blog/5-best-keyword-research-tools-for-startups/,5 Best SEO Keyword Research Tools for Startups,84,41,https://backlinko.com/google-keyword-planner,"your product or service, your competitor’s landing page and product category.",Customize your search,for certain kinds of keywords.,57013,href,True,False,False,utf8,,2017-09-24 06:34:49,2017-11-04 21:09:27,2017-11-04 22:40:47,False
3243,22,68,151.80.39.61,https://ahrefs.com/blog/how-to-drive-traffic-to-your-website/,How To Drive Traffic To Your Website (All Things Considered),28,137,https://backlinko.com/google-keyword-planner,to find good keywords to bid on. Here is a,guide,on how to use the Google Keyword Planner.,31213,href,False,False,False,utf8,,2017-09-23 19:46:52,2017-11-04 00:08:49,2017-11-05 18:26:54,True
4068,20,56,104.25.20.7,https://www.rankpay.com/keyword-research/,Basic Keyword Research in 3 Simple Steps,38,32,https://backlinko.com/google-keyword-planner,overall this is an essential and powerful tool. Check out,Backlinko’s Guide,if you’re just getting your feet wet.,33871,href,False,False,False,utf8,,2017-09-19 05:26:45,2017-11-05 14:03:09,2017-11-06 07:24:04,False
4508,19,68,104.196.203.82,https://neilpatel.com/blog/23-snazzy-blogging-tools-every-professional-content-marketer-is-using/,23 Snazzy Blogging Tools Every Professional Content Marketer is Using,46,278,https://backlinko.com/google-keyword-planner,,Brian Dean,,36182,href,False,False,False,utf8,,2017-09-20 00:08:38,2017-11-05 03:03:31,2017-11-05 20:35:36,False
5261,18,64,34.226.69.31,https://torquemag.io/2016/10/wordpress-seo-find-the-right-keywords-for-your-site/,WordPress SEO 101: How to Find the Right Keywords for Your Site,36,35,https://backlinko.com/google-keyword-planner,is quite useful in coming up with additional ideas. Use,these detailed instructions,if you don’t know how to use it. The only,29583,href,False,False,False,utf8,,2017-10-04 07:13:52,2017-10-25 08:40:14,2017-11-01 18:34:20,False
5377,18,45,159.203.67.167,http://timfelmingham.com/free-keyword-research-tools-2017/,Best Free Keyword Research Tools for 2017,35,53,https://backlinko.com/google-keyword-planner,"to use KeyWords Planner, you can do no better than",Brian Dean’s excellent article on Backlinko,". If you don’t have an AdWords account, you will",22979,href,False,False,False,utf8,,2017-09-21 12:57:29,2017-10-28 02:49:25,2017-11-06 11:16:12,False
5776,17,76,151.101.120.249,https://www.dreamhost.com/blog/35-ways-to-promote-your-website/,35 Cheap Ways to Promote Your Website - DreamHost.blog,63,64,https://backlinko.com/google-keyword-planner,,"Learn how to utilize this tool,",,24169,href,False,False,False,utf8,,2017-09-24 00:20:51,2017-10-16 15:31:53,2017-10-23 19:13:30,False
