#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"adwords keyword planner",5,17,"2017-11-02 04:33:11",7700,https://backlinko.com/google-keyword-planner,84,437000,"2017-11-05 01:53:55",49,2.50,
2,"how to use google keyword planner",4,6,"2017-10-19 21:39:48",1100,https://backlinko.com/google-keyword-planner,48,8620000,"2017-11-02 06:05:46",31,5.00,
3,"google keyword planner tool",7,,,2300,https://backlinko.com/google-keyword-planner,38,2250000,"2017-10-27 08:09:32",68,3.50,
4,"google keyword search",9,,,2700,https://backlinko.com/google-keyword-planner,38,44600000,"2017-11-04 02:12:15",61,2.50,
5,"google planner",6,,,6000,https://backlinko.com/google-keyword-planner,32,56900000,"2017-11-06 05:50:56",59,3.50,
6,"google adwords keyword planner",5,6,"2017-11-02 02:31:42",3400,https://backlinko.com/google-keyword-planner,32,5920000,"2017-11-05 04:59:01",52,2.50,
7,"keyword planner tool",6,,,1700,https://backlinko.com/google-keyword-planner,27,585000,"2017-10-26 02:11:41",61,7.00,
8,"google keyword research",5,8,"2017-10-13 16:46:59",1500,https://backlinko.com/google-keyword-planner,24,11700000,"2017-10-27 07:27:21",84,4.00,
9,"google keyword research",7,8,"2017-10-13 16:46:59",1500,https://backlinko.com/google-keyword-planner,19,10700000,"2017-10-14 01:16:36",81,4.00,
10,"google key word research tool",7,9,"2017-10-02 10:15:54",400,https://backlinko.com/google-keyword-planner,18,26600000,"2017-10-16 21:03:42",59,4.00,
11,"google kw planner",5,,,250,https://backlinko.com/google-keyword-planner,16,2130000,"2017-10-07 15:37:40",56,0.90,
12,"google’s keyword planner",5,,,300,https://backlinko.com/google-keyword-planner,16,226000,"2017-10-25 06:59:51",58,0.90,
13,"keywords planner",6,,,1600,https://backlinko.com/google-keyword-planner,16,14200000,"2017-10-30 01:33:40",56,5.00,
14,keywordplanner,4,,,1600,https://backlinko.com/google-keyword-planner,14,1980000,"2017-10-26 05:40:01",57,5.00,
15,"google keyword planning tool",6,7,"2017-09-26 10:30:02",200,https://backlinko.com/google-keyword-planner,12,2790000,"2017-10-26 01:33:16",59,3.00,
16,"google adword keyword tool",10,15,"2017-10-22 04:48:48",1200,https://backlinko.com/google-keyword-planner,12,2030000,"2017-11-05 03:17:08",52,3.00,
17,"google key word planner",5,,,600,https://backlinko.com/google-keyword-planner,12,5460000,"2017-11-02 04:58:35",58,1.00,
18,"google keywordplanner",5,,,150,https://backlinko.com/google-keyword-planner,11,5380000,"2017-10-24 23:50:30",57,0.90,
19,"how to access google keyword planner",1,,,30,https://backlinko.com/google-keyword-planner,11,1470000,"2017-10-24 07:17:57",34,,"Featured snippet"
