#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"squeeze page examples",5,,,150,https://backlinko.com/social-squeeze-page,8,554000,"2017-10-16 18:50:50",23,6.00,
2,"squeeze page design",7,,,150,https://backlinko.com/social-squeeze-page,6,1770000,"2017-10-13 00:50:12",29,7.00,
3,"best squeeze pages",7,,,100,https://backlinko.com/social-squeeze-page,5,1720000,"2017-09-28 13:33:48",18,6.00,
4,"how to create a squeeze page",6,,,90,https://backlinko.com/social-squeeze-page,5,1440000,"2017-10-26 23:49:42",22,8.00,
5,"squeeze page design",9,,,150,https://backlinko.com/social-squeeze-page,4.0,1800000,"2017-10-12 23:44:11",22,7.00,
6,"squeeze pages",10,11,"2017-10-02 05:40:59",400,https://backlinko.com/social-squeeze-page,3.9,800000,"2017-10-17 21:46:05",30,8.00,
7,"how to make a squeeze page",10,6,"2017-09-18 07:28:32",150,https://backlinko.com/social-squeeze-page,3.6,2010000,"2017-10-23 13:23:35",22,5.00,
8,"how to build a squeeze page",7,,,70,https://backlinko.com/social-squeeze-page,3.2,677000,"2017-11-04 08:36:07",22,7.00,
9,"best squeeze page",7,,,40,https://backlinko.com/social-squeeze-page,2.0,1970000,"2017-11-01 07:35:53",6,8.00,
10,"high converting squeeze page",10,,,80,https://backlinko.com/social-squeeze-page,1.8,1880000,"2017-10-27 02:27:45",5,3.00,
11,"examples of squeeze pages",4,,,10,https://backlinko.com/social-squeeze-page,1.0,766000,"2017-09-19 18:09:19",21,6.00,
12,"sample squeeze pages",5,,,10,https://backlinko.com/social-squeeze-page,0.97,774000,"2017-09-19 14:28:37",12,5.00,
13,"create a squeeze page",7,,,20,https://backlinko.com/social-squeeze-page,0.92,1440000,"2017-10-28 00:10:40",22,7.00,
14,"facebook squeeze page",10,,,40,https://backlinko.com/social-squeeze-page,0.91,1330000,"2017-11-04 15:21:58",0,4.00,
15,"sample squeeze page",5,4,"2017-09-13 23:24:02",10,https://backlinko.com/social-squeeze-page,0.83,633000,"2017-11-05 14:03:15",14,4.00,
16,"squeeze page example",5,,,10,https://backlinko.com/social-squeeze-page,0.77,2380000,"2017-10-27 10:49:53",24,0.20,
17,"how to make a good squeeze page",6,,,10,https://backlinko.com/social-squeeze-page,0.62,3400000,"2017-09-23 02:46:28",13,9.00,
18,squeezepage,10,,,20,https://backlinko.com/social-squeeze-page,0.58,9860000,"2017-09-19 19:24:54",21,7.00,
19,"build a squeeze page",7,,,10,https://backlinko.com/social-squeeze-page,0.51,653000,"2017-11-04 12:25:57",22,10.00,
20,"make a squeeze page",8,,,10,https://backlinko.com/social-squeeze-page,0.47,1940000,"2017-10-26 12:21:10",19,8.00,
21,"what is squeeze page",10,,,20,https://backlinko.com/social-squeeze-page,0.46,3450000,"2017-11-05 13:16:58",28,4.50,
22,"how to setup a squeeze page",9,,,10,https://backlinko.com/social-squeeze-page,0.36,1120000,"2017-10-23 03:27:43",13,5.00,
23,"squeeze page marketing",9,,,10,https://backlinko.com/social-squeeze-page,0.33,2700000,"2017-09-20 04:37:17",22,13.00,
24,"clickbank squeeze page",10,,,10,https://backlinko.com/social-squeeze-page,0.26,169000,"2017-10-24 05:10:08",0,,
