#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"skyscraper technique",2,,,700,https://backlinko.com/skyscraper-technique,86,1190000,"2017-11-04 04:51:38",25,,
2,"backlinko blog",4,,,150,https://backlinko.com/skyscraper-technique,11,126000,"2017-10-23 20:54:58",60,,
3,"the skyscraper technique",2,,,50,https://backlinko.com/skyscraper-technique,7,1760000,"2017-10-15 03:45:26",20,,
4,"backlinko skyscraper",1,,,10,https://backlinko.com/skyscraper-technique,5,32100,"2017-10-18 03:51:11",51,,
5,"brian dean skyscraper",1,,,10,https://backlinko.com/skyscraper-technique,4.3,365000,"2017-10-30 08:46:32",23,,
6,"backlinko link building",5,,,20,https://backlinko.com/skyscraper-technique,1.8,64800,"2017-09-16 23:06:37",65,,
7,"skyscraper content",2,,,10,https://backlinko.com/skyscraper-technique,1.5,49900000,"2017-10-17 04:35:54",26,,
8,"skyscrapers blog",8,,,30,https://backlinko.com/skyscraper-technique,1.2,25900000,"2017-10-31 20:33:34",38,,
9,"broken link building backlinko",4,,,10,https://backlinko.com/skyscraper-technique,0.95,77400,"2017-10-24 08:09:30",74,,
10,"skyscraper website",10,,,30,https://backlinko.com/skyscraper-technique,0.74,32400000,"2017-11-05 06:44:10",81,,
