#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,backlinks,6,5,"2017-11-02 06:12:14",7100,https://backlinko.com/17-untapped-backlink-sources,330,37400000,"2017-11-05 03:52:25",78,6.00,
2,"how to get backlinks",5,4,"2017-10-13 07:30:41",1100,https://backlinko.com/17-untapped-backlink-sources,92,36600000,"2017-10-27 02:42:44",61,6.00,
3,backlink,7,,,2100,https://backlinko.com/17-untapped-backlink-sources,49,20500000,"2017-11-03 11:02:45",63,,
4,"how to get backlink",4,,,300,https://backlinko.com/17-untapped-backlink-sources,30,16100000,"2017-10-12 18:54:12",55,5.00,
5,"best backlinks",1,,,80,https://backlinko.com/17-untapped-backlink-sources,29,15700000,"2017-10-01 23:09:26",43,1.80,
6,backlinko,1,,,2400,https://backlinko.com/17-untapped-backlink-sources,26,164000,"2017-11-03 09:05:12",25,,"Site links"
7,"get backlinks",4,,,300,https://backlinko.com/17-untapped-backlink-sources,24,36500000,"2017-10-25 02:08:32",61,4.50,
8,"backlink building",4,,,200,https://backlinko.com/17-untapped-backlink-sources,18,758000,"2017-10-25 12:25:15",73,6.00,
9,backlinking,6,8,"2017-10-23 07:19:19",500,https://backlinko.com/17-untapped-backlink-sources,17,669000,"2017-11-06 02:28:53",64,6.00,
10,"back links",7,8,"2017-10-22 14:34:05",800,https://backlinko.com/17-untapped-backlink-sources,17,109000000,"2017-11-05 00:50:56",65,6.00,
11,"easy backlinks",3,,,150,https://backlinko.com/17-untapped-backlink-sources,15,4900000,"2017-10-07 20:11:23",47,,
12,"best free backlinks",1,,,30,https://backlinko.com/17-untapped-backlink-sources,12,12600000,"2017-10-30 15:41:39",34,2.00,
13,"get free backlinks",1,,,30,https://backlinko.com/17-untapped-backlink-sources,9,35300000,"2017-11-06 07:12:51",48,2.00,"Featured snippet"
14,"backlink sites",1,,,20,https://backlinko.com/17-untapped-backlink-sources,8,649000,"2017-10-27 17:59:09",59,,
15,"building backlinks",7,,,200,https://backlinko.com/17-untapped-backlink-sources,8,8800000,"2017-10-14 06:47:55",60,10.00,
16,"create backlinks free",7,,,150,https://backlinko.com/17-untapped-backlink-sources,8,2520000,"2017-10-02 11:48:54",34,2.00,
17,"resource pages",3,6,"2017-10-04 16:40:02",400,https://backlinko.com/17-untapped-backlink-sources,8,534000000,"2017-10-21 02:14:18",4,,"Image pack"
18,"best backlinks for seo",1,,,20,https://backlinko.com/17-untapped-backlink-sources,7,7070000,"2017-11-04 00:00:45",60,6.00,
19,"where to get backlinks",1,,,20,https://backlinko.com/17-untapped-backlink-sources,6,7860000,"2017-10-30 10:58:26",61,9.00,
20,"high pr backlinks",5,,,90,https://backlinko.com/17-untapped-backlink-sources,6,536000,"2017-10-29 11:44:00",14,5.00,
21,"high authority backlinks",2,,,40,https://backlinko.com/17-untapped-backlink-sources,5,4990000,"2017-09-23 15:16:19",39,2.50,
22,"pr links",3,,,40,https://backlinko.com/17-untapped-backlink-sources,5.0,480000000,"2017-10-29 15:26:26",28,,
23,"good backlinks",3,,,40,https://backlinko.com/17-untapped-backlink-sources,4.5,28600000,"2017-09-24 23:58:03",41,14.00,
24,"backlink sources",1,,,10,https://backlinko.com/17-untapped-backlink-sources,4.4,425000,"2017-10-20 13:08:27",12,,
25,"create backlinks",9,8,"2017-09-26 00:03:51",200,https://backlinko.com/17-untapped-backlink-sources,4.4,15100000,"2017-09-27 00:50:41",57,7.00,
26,"17 untapped backlink sources",1,,,10,https://backlinko.com/17-untapped-backlink-sources,4.3,277000,"2017-10-27 10:36:54",0,,
27,"good backlink sites",1,,,10,https://backlinko.com/17-untapped-backlink-sources,4.0,1490000,"2017-10-17 14:52:23",46,,
