#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"how to drive traffic to your website",5,,,900,https://backlinko.com/increase-website-traffic,81,11000000,"2017-10-29 00:58:40",63,7.00,
2,"how to get traffic to your website",4,,,600,https://backlinko.com/increase-website-traffic,69,30300000,"2017-10-27 01:44:42",62,6.00,
3,"site traffic",7,16,"2017-10-23 14:53:53",2000,https://backlinko.com/increase-website-traffic,54,680000000,"2017-11-06 01:12:23",64,6.00,
4,"increase website traffic",4,5,"2017-10-18 22:33:12",700,https://backlinko.com/increase-website-traffic,42,421000000,"2017-11-01 02:37:36",65,6.00,
5,"how to increase website traffic",6,5,"2017-10-11 10:38:44",700,https://backlinko.com/increase-website-traffic,39,150000000,"2017-10-25 05:51:19",66,7.00,
6,"driving traffic to web site",4,6,"2017-10-06 07:53:11",400,https://backlinko.com/increase-website-traffic,36,2910000,"2017-10-22 00:17:18",63,5.00,
7,"drive traffic to web site",4,5,"2017-10-09 08:34:01",350,https://backlinko.com/increase-website-traffic,34,129000000,"2017-10-23 11:19:47",62,5.00,
8,"increase traffic to website",4,3,"2017-10-04 19:28:16",400,https://backlinko.com/increase-website-traffic,33,6880000,"2017-10-21 17:16:27",65,11.00,
9,"how to get website traffic",4,3,"2017-10-02 19:18:18",350,https://backlinko.com/increase-website-traffic,32,184000000,"2017-10-16 15:40:16",65,6.00,
10,"get more traffic",1,,,90,https://backlinko.com/increase-website-traffic,31,368000000,"2017-10-27 01:15:48",59,,
11,"how to get more traffic to your website",4,5,"2017-10-05 05:32:25",400,https://backlinko.com/increase-website-traffic,26,31500000,"2017-10-21 07:32:37",65,6.00,
12,"traffic to your website",1,,,70,https://backlinko.com/increase-website-traffic,24,44200000,"2017-10-29 13:08:03",57,7.00,
13,"drive traffic to website",5,,,350,https://backlinko.com/increase-website-traffic,21,107000000,"2017-10-18 23:46:39",62,5.00,
14,"get website traffic",4,,,250,https://backlinko.com/increase-website-traffic,21,185000000,"2017-10-02 15:10:12",64,6.00,
15,"how to increase traffic to website",4,,,250,https://backlinko.com/increase-website-traffic,21,143000000,"2017-09-29 07:56:18",63,7.00,
16,"how to get traffic",3,,,150,https://backlinko.com/increase-website-traffic,18,49700000,"2017-10-24 17:23:33",53,5.00,
17,"get traffic to your website",4,,,250,https://backlinko.com/increase-website-traffic,17,25000000,"2017-10-05 22:33:46",56,7.00,
18,"how to drive traffic to my website",4,,,150,https://backlinko.com/increase-website-traffic,16,81900000,"2017-10-05 16:40:23",61,6.00,
19,"drive traffic to your website",6,5,"2017-09-18 17:54:48",250,https://backlinko.com/increase-website-traffic,15,11700000,"2017-10-23 15:20:55",61,6.00,
20,"driving traffic to website",6,,,250,https://backlinko.com/increase-website-traffic,15,3780000,"2017-09-28 22:58:31",62,5.00,
21,"how to increase web traffic",4,5,"2017-09-16 02:44:31",150,https://backlinko.com/increase-website-traffic,14,193000000,"2017-10-22 15:17:02",65,10.00,
22,"traffic to website",4,,,150,https://backlinko.com/increase-website-traffic,14,281000000,"2017-10-15 11:52:12",67,5.00,
23,"more website traffic",1,,,40,https://backlinko.com/increase-website-traffic,14,245000000,"2017-11-04 07:29:05",50,6.00,
24,moretraffic,1,,,40,https://backlinko.com/increase-website-traffic,14,46000000,"2017-10-29 02:41:57",53,2.00,
25,"how to bring traffic to your website",4,,,150,https://backlinko.com/increase-website-traffic,14,7560000,"2017-10-13 03:12:54",61,5.00,
26,"increase traffic",2,,,100,https://backlinko.com/increase-website-traffic,14,298000000,"2017-09-22 21:51:32",63,9.00,
27,"how to increase traffic to your website",6,,,200,https://backlinko.com/increase-website-traffic,13,23500000,"2017-10-08 16:28:42",64,7.00,
28,"how to increase traffic to your website",6,,,200,https://backlinko.com/increase-website-traffic,13,19500000,"2017-10-08 16:32:00",64,7.00,
29,"how to get traffic to my website",4,3,"2017-09-18 22:52:38",200,https://backlinko.com/increase-website-traffic,13,5290000,"2017-10-22 23:25:29",65,7.00,
