#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"brian dean",3,,,1200,https://backlinko.com/about-backlinko,97,106000000,"2017-10-28 08:34:29",38,0.35,
2,backlinko,1,,,2400,https://backlinko.com/about-backlinko,26,164000,"2017-11-03 09:05:12",25,,"Site links"
3,"brian dean seo",3,,,150,https://backlinko.com/about-backlinko,18,553000,"2017-10-24 17:48:28",36,,
4,"backlinko blog",3,,,150,https://backlinko.com/about-backlinko,14,126000,"2017-10-23 20:54:58",60,,
5,"brian dean",1,,,1200,https://backlinko.com/about-backlinko,12,106000000,"2017-10-28 08:34:29",38,0.35,"Site links"
6,"brian dean backlinko",3,,,50,https://backlinko.com/about-backlinko,5,33500,"2017-09-22 18:48:00",21,,
7,"brain dean",3,,,20,https://backlinko.com/about-backlinko,2.6,93200000,"2017-09-20 20:42:00",22,,
8,"brian dean seo",1,,,150,https://backlinko.com/about-backlinko,1.4,553000,"2017-10-24 17:48:28",36,,"Site links"
9,"brian dean backlinko",1,,,50,https://backlinko.com/about-backlinko,0.44,33500,"2017-09-22 18:48:00",21,,"Site links"
10,"brian seo",1,,,30,https://backlinko.com/about-backlinko,0.30,22000000,"2017-09-24 21:14:21",1,,"Site links"
11,"brain dean",1,,,20,https://backlinko.com/about-backlinko,0.20,93200000,"2017-09-20 20:42:00",22,,"Site links"
12,backlinco,1,,,10,https://backlinko.com/about-backlinko,0.09,164000,"2017-10-31 04:51:30",26,,"Site links"
13,backlinko.com,1,,,20,https://backlinko.com/about-backlinko,0.08,168000,"2017-11-06 09:10:56",38,,"Site links"
