#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"keyword research",2,,,11000,https://backlinko.com/keyword-research,1857,16000000,"2017-11-04 01:10:40",78,7.00,
2,"keyword analysis",2,,,1400,https://backlinko.com/keyword-research,204,12800000,"2017-10-26 04:00:58",88,8.00,
3,"seo keyword research",4,,,450,https://backlinko.com/keyword-research,32,4730000,"2017-10-18 21:37:02",72,8.00,
4,"how to do keyword research",6,,,500,https://backlinko.com/keyword-research,31,15100000,"2017-10-26 05:50:45",68,12.00,
5,"research keywords",4,5,"2017-09-25 08:55:05",150,https://backlinko.com/keyword-research,14,7850000,"2017-10-25 13:44:06",78,6.00,
6,"key word research",2,,,100,https://backlinko.com/keyword-research,14,15400000,"2017-10-30 12:29:47",78,7.00,
7,"seo research",5,,,200,https://backlinko.com/keyword-research,10,187000000,"2017-10-22 15:26:40",69,9.00,
8,"research keyword",3,,,90,https://backlinko.com/keyword-research,10,174000000,"2017-11-02 07:34:55",89,5.00,
9,keywordresearcher,3,,,80,https://backlinko.com/keyword-research,9,3900000,"2017-10-29 02:48:51",85,7.00,
10,"keyword researcher",5,,,150,https://backlinko.com/keyword-research,9,18600000,"2017-10-15 06:55:44",88,6.00,
11,"keyword research seo",4,,,90,https://backlinko.com/keyword-research,8,5030000,"2017-10-31 15:25:35",76,11.00,
12,"keywords research",4,,,250,https://backlinko.com/keyword-research,6,17400000,"2017-10-20 00:51:59",78,7.00,
13,"how to do a keyword search",7,9,"2017-09-17 07:08:11",150,https://backlinko.com/keyword-research,6,29100000,"2017-10-22 22:26:54",76,8.00,
14,"backlinko keyword research",1,,,20,https://backlinko.com/keyword-research,6,539000,"2017-11-01 06:31:09",39,,
15,"how to research keywords",6,,,100,https://backlinko.com/keyword-research,6,474000000,"2017-09-21 00:15:55",76,6.00,
16,"keyword research guide",3,,,50,https://backlinko.com/keyword-research,5,14100000,"2017-09-23 20:39:29",66,2.50,
17,"seo keywords",10,9,"2017-10-21 06:51:26",2200,https://backlinko.com/keyword-research,5.0,61400000,"2017-11-04 04:36:28",66,7.00,
