#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"white hat seo",5,6,"2017-10-19 22:47:42",1200,https://backlinko.com/white-hat-seo,52,3900000,"2017-11-02 05:28:36",35,10.00,
2,"white hat link building",6,,,200,https://backlinko.com/white-hat-seo,10,12900000,"2017-10-14 12:53:46",42,11.00,
3,"whitehat seo",4,,,150,https://backlinko.com/white-hat-seo,9,1800000,"2017-10-25 07:44:23",40,6.00,
4,"white hat backlinks",1,,,20,https://backlinko.com/white-hat-seo,8,441000,"2017-11-04 19:09:29",30,3.50,
5,"seo case study",9,,,250,https://backlinko.com/white-hat-seo,7,17100000,"2017-10-13 06:28:02",15,,
6,"white hat seo techniques",8,,,150,https://backlinko.com/white-hat-seo,6,3410000,"2017-10-24 04:47:03",34,60.00,
7,"whitehat backlinks",2,,,40,https://backlinko.com/white-hat-seo,5,388000,"2017-10-27 00:23:05",30,6.00,
8,"whitehat link building",6,,,80,https://backlinko.com/white-hat-seo,5,542000,"2017-11-03 19:31:14",42,9.00,
9,"white hat backlink",3,,,40,https://backlinko.com/white-hat-seo,4.7,306000,"2017-10-26 15:07:05",32,7.00,
10,"white hat traffic",1,,,10,https://backlinko.com/white-hat-seo,4.2,8640000,"2017-10-21 04:40:52",18,,
11,"white hat techniques",8,,,80,https://backlinko.com/white-hat-seo,2.9,7580000,"2017-10-31 23:06:25",24,,
12,"seo white hat",4,,,30,https://backlinko.com/white-hat-seo,2.9,4180000,"2017-11-04 16:05:38",36,7.00,
13,"what is white hat seo",10,8,"2017-09-14 22:43:22",100,https://backlinko.com/white-hat-seo,2.3,3800000,"2017-10-19 02:09:02",36,4.00,
14,"seo whitehat",5,,,30,https://backlinko.com/white-hat-seo,2.3,605000,"2017-09-30 20:48:54",49,8.00,
15,whitehatseo,4,,,20,https://backlinko.com/white-hat-seo,2.2,515000,"2017-11-05 12:51:47",38,11.00,
16,"backlinko skyscraper",2,,,10,https://backlinko.com/white-hat-seo,2.1,32100,"2017-10-18 03:51:11",51,,
17,"1 in 7",2,,,50,https://backlinko.com/white-hat-seo,1.5,9420000000,"2017-10-31 16:04:54",44,,"Image pack"
18,"backlinko link building",6,,,20,https://backlinko.com/white-hat-seo,1.5,64800,"2017-09-16 23:06:37",65,,
19,"white hat method",7,,,30,https://backlinko.com/white-hat-seo,1.4,9670000,"2017-10-31 05:28:40",39,,
20,"white hat methods",8,,,30,https://backlinko.com/white-hat-seo,1.2,8910000,"2017-09-22 09:02:00",39,,
21,"whitehat seo services",7,,,20,https://backlinko.com/white-hat-seo,0.96,1060000,"2017-10-28 21:11:27",26,6.00,
22,"white hat strategies",5,,,10,https://backlinko.com/white-hat-seo,0.79,4230000,"2017-10-18 07:41:04",48,,
23,"white hat link building strategies",5,,,10,https://backlinko.com/white-hat-seo,0.76,1170000,"2017-10-18 17:48:28",38,,
24,"richard seo farmers",5,,,50,https://backlinko.com/white-hat-seo,0.75,370000,"2017-11-04 03:48:23",0,2.50,"Image pack"
25,"white hat seo link building",6,,,10,https://backlinko.com/white-hat-seo,0.66,5410000,"2017-10-31 13:25:23",38,19.00,
26,"white hat seo marketing",7,,,10,https://backlinko.com/white-hat-seo,0.51,1650000,"2017-10-19 17:10:26",36,,
27,"white hat backlinks service",9,,,10,https://backlinko.com/white-hat-seo,0.31,1950000,"2017-10-24 09:52:35",33,8.00,
