#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"youtube seo",1,3,"2017-10-15 00:58:32",2400,https://backlinko.com/how-to-rank-youtube-videos,853,50000000,"2017-10-29 00:38:54",19,8.00,
2,"seo youtube",1,,,450,https://backlinko.com/how-to-rank-youtube-videos,128,43500000,"2017-10-18 23:42:01",27,6.00,
3,"youtube seo tips",3,,,350,https://backlinko.com/how-to-rank-youtube-videos,41,9000000,"2017-10-15 00:32:16",29,6.00,
4,"youtube video seo",1,,,150,https://backlinko.com/how-to-rank-youtube-videos,35,17100000,"2017-10-24 02:22:09",31,1.20,
5,"seo on youtube",1,,,80,https://backlinko.com/how-to-rank-youtube-videos,29,40600000,"2017-10-26 11:17:21",30,,
6,"seo for youtube",2,,,200,https://backlinko.com/how-to-rank-youtube-videos,26,36600000,"2017-10-06 06:48:09",42,14.00,
7,"how to seo youtube videos",1,,,60,https://backlinko.com/how-to-rank-youtube-videos,23,67000000,"2017-10-01 16:03:24",35,4.50,"Featured snippet"
8,"seo youtube videos",1,,,60,https://backlinko.com/how-to-rank-youtube-videos,22,7220000,"2017-11-02 12:09:06",26,,
9,"seo youtube video",1,,,60,https://backlinko.com/how-to-rank-youtube-videos,22,16500000,"2017-10-31 05:13:00",24,4.50,
10,"youtube seo optimization",1,,,50,https://backlinko.com/how-to-rank-youtube-videos,18,6210000,"2017-11-01 14:03:03",30,7.00,
11,"how to rank youtube videos fast",1,,,50,https://backlinko.com/how-to-rank-youtube-videos,18,2320000,"2017-11-02 23:47:28",3,,"Featured snippet"
12,"how to rank youtube videos",5,,,300,https://backlinko.com/how-to-rank-youtube-videos,17,8100000,"2017-10-25 06:45:00",7,0.80,
13,"ranking youtube videos",1,,,50,https://backlinko.com/how-to-rank-youtube-videos,17,28500000,"2017-10-25 23:38:31",14,,"Featured snippet"
14,"youtube seo best practices",2,,,100,https://backlinko.com/how-to-rank-youtube-videos,14,2280000,"2017-10-27 22:15:55",11,25.00,
15,"youtube backlinks",2,,,90,https://backlinko.com/how-to-rank-youtube-videos,13,24700000,"2017-10-26 22:39:47",7,5.00,
16,"seo for youtube channel",1,,,30,https://backlinko.com/how-to-rank-youtube-videos,12,2490000,"2017-09-30 20:35:06",45,6.00,"Featured snippet"
17,"youtube search engine optimization",2,,,80,https://backlinko.com/how-to-rank-youtube-videos,12,166000000,"2017-09-26 19:24:23",46,4.00,
18,"video seo youtube",1,,,30,https://backlinko.com/how-to-rank-youtube-videos,10,6760000,"2017-10-01 14:35:55",45,,
19,"youtube video optimization",3,,,90,https://backlinko.com/how-to-rank-youtube-videos,10,41800000,"2017-10-31 16:10:13",28,,
20,"seo optimization youtube",2,,,60,https://backlinko.com/how-to-rank-youtube-videos,8,6190000,"2017-11-01 13:30:22",46,,
21,"youtube seo guide",1,,,20,https://backlinko.com/how-to-rank-youtube-videos,8,18400000,"2017-10-01 14:10:53",39,,
22,"how to seo youtube",1,,,20,https://backlinko.com/how-to-rank-youtube-videos,7,10200000,"2017-10-30 14:07:53",20,,"Featured snippet"
23,"how to seo youtube videos",3,,,60,https://backlinko.com/how-to-rank-youtube-videos,7,67000000,"2017-10-01 16:03:24",35,4.50,
24,"youtube for seo",1,,,20,https://backlinko.com/how-to-rank-youtube-videos,7,59300000,"2017-11-05 08:09:12",30,,
25,"youtube backlink",2,,,50,https://backlinko.com/how-to-rank-youtube-videos,7,5150000,"2017-10-31 21:50:06",3,6.00,
26,"youtube videos seo",1,,,20,https://backlinko.com/how-to-rank-youtube-videos,7,3990000,"2017-09-30 15:30:09",43,,
27,"youtube seo 2016",1,,,20,https://backlinko.com/how-to-rank-youtube-videos,6,3830000,"2017-09-21 05:34:27",37,,
28,"youtube video ranking",3,,,50,https://backlinko.com/how-to-rank-youtube-videos,6,39300000,"2017-11-01 19:23:17",41,,
