#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"brian dean",2,,,1200,https://backlinko.com/blog,216,106000000,"2017-10-28 08:34:29",38,0.35,
2,"backlinko blog",1,,,150,https://backlinko.com/blog,41,126000,"2017-10-23 20:54:58",60,,
3,backlinko,1,,,2400,https://backlinko.com/blog,26,164000,"2017-11-03 09:05:12",25,,"Site links"
4,"brian dean seo",2,,,150,https://backlinko.com/blog,23,553000,"2017-10-24 17:48:28",36,,
5,"brian dean",1,,,1200,https://backlinko.com/blog,12,106000000,"2017-10-28 08:34:29",38,0.35,"Site links"
6,"brian dean backlinko",2,,,50,https://backlinko.com/blog,7,33500,"2017-09-22 18:48:00",21,,
7,"brian seo",2,,,30,https://backlinko.com/blog,4.8,22000000,"2017-09-24 21:14:21",1,,
8,"brain dean",2,,,20,https://backlinko.com/blog,3.2,93200000,"2017-09-20 20:42:00",22,,
9,"brian dean seo",1,,,150,https://backlinko.com/blog,1.4,553000,"2017-10-24 17:48:28",36,,"Site links"
10,"blog backlinks",8,,,30,https://backlinko.com/blog,1.2,36300000,"2017-11-03 13:15:12",45,6.00,
11,"brian dean backlinko",1,,,50,https://backlinko.com/blog,0.44,33500,"2017-09-22 18:48:00",21,,"Site links"
12,"brian seo",1,,,30,https://backlinko.com/blog,0.30,22000000,"2017-09-24 21:14:21",1,,"Site links"
13,"brain dean",1,,,20,https://backlinko.com/blog,0.20,93200000,"2017-09-20 20:42:00",22,,"Site links"
14,backlinco,1,,,10,https://backlinko.com/blog,0.09,164000,"2017-10-31 04:51:30",26,,"Site links"
15,backlinko.com,1,,,20,https://backlinko.com/blog,0.08,168000,"2017-11-06 09:10:56",38,,"Site links"
