#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"seo tools",6,,,12000,https://backlinko.com/seo-tools,576,14500000,"2017-11-04 07:27:56",86,11.00,
2,"best seo tools",3,2,"2017-10-16 21:41:00",1500,https://backlinko.com/seo-tools,209,7560000,"2017-10-30 06:00:53",51,11.00,
3,"free seo tools",7,,,2400,https://backlinko.com/seo-tools,130,2350000,"2017-10-29 01:56:22",78,7.00,
4,"free seo",10,7,"2017-10-13 05:52:05",1100,https://backlinko.com/seo-tools,47,20800000,"2017-10-27 06:26:00",70,4.50,
5,"seo tool",5,4,"2017-10-10 03:49:38",700,https://backlinko.com/seo-tools,42,4560000,"2017-10-24 12:40:59",83,12.00,
6,seotools,6,,,500,https://backlinko.com/seo-tools,29,7600000,"2017-10-14 04:00:29",83,12.00,
7,"top seo tools",2,,,200,https://backlinko.com/seo-tools,26,15600000,"2017-10-25 04:58:28",48,10.00,
8,"seo tools free",7,,,350,https://backlinko.com/seo-tools,16,11900000,"2017-10-20 22:57:36",75,7.00,
9,"seo tracking tool",1,,,40,https://backlinko.com/seo-tools,14,15800000,"2017-10-24 08:39:14",60,3.50,
10,"best free seo tools",7,,,250,https://backlinko.com/seo-tools,11,7700000,"2017-10-07 13:31:51",60,9.00,
11,"best seo tools 2016",4,,,100,https://backlinko.com/seo-tools,11,12200000,"2017-10-22 12:03:21",38,10.00,
12,"seo management tool",6,,,150,https://backlinko.com/seo-tools,10,36000000,"2017-10-03 18:44:50",49,10.00,
13,"best seo tool",3,,,90,https://backlinko.com/seo-tools,10,3470000,"2017-10-28 22:33:00",44,16.00,
14,"seo tool review",7,,,150,https://backlinko.com/seo-tools,8,1710000,"2017-09-28 22:27:59",50,10.00,
15,"seo tracking tools",2,,,50,https://backlinko.com/seo-tools,7,19500000,"2017-10-26 23:59:32",56,10.00,
16,"seo tool reviews",7,,,150,https://backlinko.com/seo-tools,7,963000,"2017-10-05 19:06:19",50,25.00,
17,"list of seo tools",1,,,20,https://backlinko.com/seo-tools,7,7920000,"2017-11-01 13:11:02",53,10.00,
18,"best seo ranking tool",2,,,50,https://backlinko.com/seo-tools,7,3060000,"2017-10-29 04:24:43",61,10.00,
19,"best seo monitoring tools",4,,,70,https://backlinko.com/seo-tools,6,9320000,"2017-10-28 12:36:51",42,,
20,"seo tools list",3,,,50,https://backlinko.com/seo-tools,6,6760000,"2017-11-03 21:46:46",54,6.00,
21,"tools lists",4,8,"2017-10-08 08:38:33",400,https://backlinko.com/seo-tools,6,574000000,"2017-10-22 08:54:04",25,0.40,"Image pack"
22,"seo link tool",4,,,60,https://backlinko.com/seo-tools,6,20100000,"2017-10-02 08:34:56",92,,
23,"best seo tools 2015",4,,,60,https://backlinko.com/seo-tools,6,5360000,"2017-10-28 00:38:38",35,,
24,"seo tools software",5,,,80,https://backlinko.com/seo-tools,6,6370000,"2017-10-30 23:51:52",81,,
25,"website seo tools",7,,,100,https://backlinko.com/seo-tools,5,11300000,"2017-10-04 12:44:03",83,11.00,
26,"free seo tool",6,,,90,https://backlinko.com/seo-tools,5,3650000,"2017-10-29 11:37:52",70,7.00,
27,"best tools for seo",2,,,40,https://backlinko.com/seo-tools,5,5930000,"2017-11-04 06:26:40",52,4.00,
28,"seo tools google",9,,,200,https://backlinko.com/seo-tools,5,13400000,"2017-10-14 08:21:51",60,7.00,
29,"seo search tools",8,,,100,https://backlinko.com/seo-tools,4.8,2370000,"2017-10-06 19:25:50",79,4.50,
30,"seo tool software",4,,,50,https://backlinko.com/seo-tools,4.7,1540000,"2017-10-30 10:45:36",78,17.00,
31,"what are seo tools",7,8,"2017-10-03 09:11:16",300,https://backlinko.com/seo-tools,4.5,26100000,"2017-10-18 19:22:10",73,7.00,
32,"seo ranking tool",10,8,"2017-09-13 00:38:42",200,https://backlinko.com/seo-tools,4.5,14800000,"2017-10-15 20:53:58",74,8.00,
33,"seo management tools",3,,,40,https://backlinko.com/seo-tools,4.4,58300000,"2017-11-01 12:18:03",54,7.00,
34,"best seo ranking tools",2,3,"2017-09-14 23:44:31",30,https://backlinko.com/seo-tools,4.2,4080000,"2017-11-05 17:03:59",49,,
35,"ninja seo tools",4,,,40,https://backlinko.com/seo-tools,4.0,516000,"2017-11-01 08:52:18",56,,
36,"seo tool torrent",1,,,10,https://backlinko.com/seo-tools,3.7,218000,"2017-10-23 06:52:58",34,15.00,
37,"what is seo tools",8,,,100,https://backlinko.com/seo-tools,3.7,10200000,"2017-10-31 13:11:48",76,5.00,
38,"best seo tools 2017",5,,,50,https://backlinko.com/seo-tools,3.5,4250000,"2017-09-17 13:19:57",31,,
39,"web seo tools",10,,,150,https://backlinko.com/seo-tools,3.4,9950000,"2017-10-25 10:03:49",85,8.00,
40,"seo tools review",8,,,80,https://backlinko.com/seo-tools,3.1,11800000,"2017-10-27 03:24:36",49,25.00,
41,"best online seo tools",5,,,40,https://backlinko.com/seo-tools,3.0,4570000,"2017-10-30 22:49:21",50,7.00,
42,"seo tracker tool",5,,,40,https://backlinko.com/seo-tools,2.9,1560000,"2017-10-29 13:34:04",66,7.00,
43,"free seo tools 2016",3,,,20,https://backlinko.com/seo-tools,2.6,5470000,"2017-09-17 07:39:59",43,10.00,
44,"online seo tools",7,,,50,https://backlinko.com/seo-tools,2.6,9730000,"2017-10-31 01:58:55",77,10.00,
45,"seo list",6,,,40,https://backlinko.com/seo-tools,2.5,5160000,"2017-10-24 18:37:23",60,7.00,
46,"seo search tool",7,,,50,https://backlinko.com/seo-tools,2.4,6500000,"2017-10-29 03:09:28",88,14.00,
47,"seo tracker software",7,,,50,https://backlinko.com/seo-tools,2.4,4410000,"2017-10-31 18:54:32",82,,
48,"professional seo tools",3,,,20,https://backlinko.com/seo-tools,2.4,10800000,"2017-11-05 06:42:34",60,4.00,
49,"seo tools rank",3,6,"2017-09-14 01:28:19",20,https://backlinko.com/seo-tools,2.3,6960000,"2017-11-05 16:27:45",76,3.00,
50,"tool seo",7,,,50,https://backlinko.com/seo-tools,2.2,63500000,"2017-09-22 01:51:56",76,,
51,"seo online tools",8,,,60,https://backlinko.com/seo-tools,2.2,78800000,"2017-10-31 10:43:07",79,9.00,
52,"tools seo",7,,,50,https://backlinko.com/seo-tools,2.2,10400000,"2017-09-18 10:33:36",72,0.02,
53,"seo ranking tools",9,,,70,https://backlinko.com/seo-tools,2.2,17300000,"2017-11-06 10:25:58",75,12.00,
54,"seo tools 2015",5,,,30,https://backlinko.com/seo-tools,2.2,6700000,"2017-09-16 21:27:50",38,6.00,
