#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"on page seo",1,,,1800,https://backlinko.com/on-page-seo,405,20600000,"2017-10-27 06:20:28",52,11.00,
2,"on page seo checklist",1,,,200,https://backlinko.com/on-page-seo,96,2820000,"2017-10-23 19:44:35",46,8.00,"Featured snippet"
3,"on-page seo",1,,,450,https://backlinko.com/on-page-seo,91,10700000,"2017-10-17 02:23:58",52,10.00,
4,"on page seo checklist",3,,,200,https://backlinko.com/on-page-seo,31,2820000,"2017-10-23 19:44:35",46,8.00,
5,backlinko,1,,,2400,https://backlinko.com/on-page-seo,26,164000,"2017-11-03 09:05:12",25,,"Site links"
6,"page seo",1,,,60,https://backlinko.com/on-page-seo,23,18500000,"2017-10-01 18:05:05",54,5.00,
7,"onpage seo",3,,,300,https://backlinko.com/on-page-seo,21,11400000,"2017-10-15 03:37:20",54,4.50,
8,"seo page optimization",1,,,50,https://backlinko.com/on-page-seo,18,13600000,"2017-10-30 16:34:18",79,,
9,"on-site seo",3,,,150,https://backlinko.com/on-page-seo,16,4130000,"2017-10-04 22:45:30",49,8.00,
10,"seo page",1,,,40,https://backlinko.com/on-page-seo,15,26600000,"2017-10-31 22:18:05",77,10.00,
11,"seo onpage",1,,,30,https://backlinko.com/on-page-seo,11,2120000,"2017-09-29 22:18:48",52,1.60,
12,"on page seo checklist 2015",1,,,30,https://backlinko.com/on-page-seo,10,1080000,"2017-10-26 14:55:57",54,,"Featured snippet"
13,"on page",5,,,250,https://backlinko.com/on-page-seo,9,6360000000,"2017-10-21 23:02:18",65,1.50,
14,"seo pages",3,,,80,https://backlinko.com/on-page-seo,9,2750000,"2017-10-27 22:49:53",54,9.00,
15,"2016 seo checklist",1,,,20,https://backlinko.com/on-page-seo,8,2370000,"2017-11-04 08:15:20",48,,"Featured snippet"
16,"search engine optimization page",4,,,90,https://backlinko.com/on-page-seo,8,13200000,"2017-11-01 23:38:51",77,8.00,
17,"on-page seo checklist",1,,,20,https://backlinko.com/on-page-seo,7,2760000,"2017-11-05 10:20:10",48,,"Featured snippet"
18,"seo on page",1,,,20,https://backlinko.com/on-page-seo,7,22800000,"2017-09-22 18:15:26",52,4.00,
19,"on page seo 2015",1,,,20,https://backlinko.com/on-page-seo,7,36300000,"2017-10-28 22:25:43",38,,"Featured snippet"
20,"onsite seo",6,,,250,https://backlinko.com/on-page-seo,7,11000000,"2017-10-15 16:02:09",42,,
21,"seo best practices 2015 checklist",1,,,20,https://backlinko.com/on-page-seo,7,2770000,"2017-11-04 00:35:00",48,,"Featured snippet"
22,"on site seo",5,,,100,https://backlinko.com/on-page-seo,6,62300000,"2017-11-04 16:17:59",46,10.00,
23,"on page optimization",7,,,250,https://backlinko.com/on-page-seo,6,35200000,"2017-10-05 18:36:29",49,10.00,
24,"onsite seo checklist",3,,,50,https://backlinko.com/on-page-seo,5,29300,"2017-11-05 15:38:43",58,,
25,"on page optimization checklist",1,,,10,https://backlinko.com/on-page-seo,5,10300000,"2017-09-20 18:00:30",47,9.00,"Featured snippet"
26,"good seo",4,,,60,https://backlinko.com/on-page-seo,5,12300000,"2017-10-31 13:16:47",69,13.00,
27,"on page seo elements",1,,,10,https://backlinko.com/on-page-seo,5.0,6720000,"2017-10-20 17:59:38",49,,"Featured snippet"
28,"onpage optimization",7,,,90,https://backlinko.com/on-page-seo,4.5,13700000,"2017-09-20 22:58:37",66,8.00,
29,"on page seo checklist 2015",2,,,30,https://backlinko.com/on-page-seo,4.4,1080000,"2017-10-26 14:55:57",54,,
30,"onpage seo checklist 2015",2,,,30,https://backlinko.com/on-page-seo,4.4,385000,"2017-10-27 17:48:35",52,,
31,"on-page seo optimization",1,,,10,https://backlinko.com/on-page-seo,4.3,10000000,"2017-10-28 10:15:59",52,,
32,"on-page optimization",6,,,70,https://backlinko.com/on-page-seo,4.1,3420000,"2017-11-01 14:18:31",52,10.00,
33,"seo optimization checklist",1,,,10,https://backlinko.com/on-page-seo,3.9,15700000,"2017-10-20 19:18:13",42,,"Featured snippet"
34,"on page seo checklist 2016",1,,,10,https://backlinko.com/on-page-seo,3.7,1260000,"2017-10-27 03:54:24",30,6.00,
35,"page optimization",9,,,100,https://backlinko.com/on-page-seo,3.1,57000000,"2017-09-24 19:27:15",39,,
36,"page 2016",8,,,70,https://backlinko.com/on-page-seo,2.7,4000000000,"2017-11-03 16:52:37",34,1.20,
37,"on-page seo checklist",3,,,20,https://backlinko.com/on-page-seo,2.6,2760000,"2017-11-05 10:20:10",48,,
38,"what is on page seo",5,,,30,https://backlinko.com/on-page-seo,2.5,19600000,"2017-11-02 07:15:49",52,6.00,
39,"seo infographic 2016",2,,,20,https://backlinko.com/on-page-seo,2.4,10200000,"2017-09-21 12:09:11",15,,
40,"what is on-page seo",5,,,30,https://backlinko.com/on-page-seo,2.3,5850000,"2017-10-31 20:39:13",53,,
41,"best seo practices 2016",9,,,60,https://backlinko.com/on-page-seo,2.0,9800000,"2017-10-27 17:14:05",56,14.00,
42,"on page seo 2015",4,,,20,https://backlinko.com/on-page-seo,1.9,36300000,"2017-10-28 22:25:43",38,,
43,"seo best practices checklist",8,,,50,https://backlinko.com/on-page-seo,1.8,709000,"2017-11-01 19:21:44",43,10.00,
44,"check anatomy",2,,,500,https://backlinko.com/on-page-seo,1.7,83500000,"2017-11-04 04:09:33",0,,"Image pack"
45,"seo onpage optimization",2,,,10,https://backlinko.com/on-page-seo,1.7,614000,"2017-11-03 20:12:19",54,,
46,"on page optimization checklist",3,,,10,https://backlinko.com/on-page-seo,1.7,10300000,"2017-09-20 18:00:30",47,9.00,
47,"2016 seo checklist",6,,,20,https://backlinko.com/on-page-seo,1.5,2370000,"2017-11-04 08:15:20",48,,
48,"seo on website",9,,,50,https://backlinko.com/on-page-seo,1.4,147000000,"2017-09-20 20:11:08",67,12.00,
49,"what is onpage seo",6,,,20,https://backlinko.com/on-page-seo,1.3,9310000,"2017-11-03 20:03:10",54,,
50,"on page seo elements",4,,,10,https://backlinko.com/on-page-seo,1.3,6720000,"2017-10-20 17:59:38",49,,
51,"seo optimization checklist",3,,,10,https://backlinko.com/on-page-seo,1.3,15700000,"2017-10-20 19:18:13",42,,
52,"into page out of page",3,,,50,https://backlinko.com/on-page-seo,1.3,2130000000,"2017-11-04 05:46:28",0,,"Image pack"
53,"on page seo 2016",3,,,10,https://backlinko.com/on-page-seo,1.2,49400000,"2017-10-21 05:15:37",46,,
54,"seo best practices 2015 checklist",6,,,20,https://backlinko.com/on-page-seo,1.2,2770000,"2017-11-04 00:35:00",48,,
55,"onsite optimization",9,,,40,https://backlinko.com/on-page-seo,1.2,629000,"2017-11-03 11:18:54",34,,
56,"seo keyword best practices",10,,,50,https://backlinko.com/on-page-seo,1.1,499000,"2017-09-21 13:49:06",78,,
57,"on page seo factors",4,,,10,https://backlinko.com/on-page-seo,1.1,7110000,"2017-10-12 06:31:32",66,,
58,"one pager seo",8,,,30,https://backlinko.com/on-page-seo,1.1,914000,"2017-09-22 18:36:01",16,,
59,"h1 tag example",7,,,90,https://backlinko.com/on-page-seo,0.90,24400000,"2017-10-31 09:54:39",35,,"Image pack"
60,"seo guide 2017",10,,,40,https://backlinko.com/on-page-seo,0.87,7970000,"2017-10-26 13:08:13",80,,
61,"seo guide 2016",9,,,30,https://backlinko.com/on-page-seo,0.87,3860000,"2017-10-28 20:50:42",79,5.00,
62,"one page seo",8,,,20,https://backlinko.com/on-page-seo,0.78,43800000,"2017-11-03 23:04:33",7,,
63,"backlinko blog",1,,,150,https://backlinko.com/on-page-seo,0.77,126000,"2017-10-23 20:54:58",60,,"Site links"
64,"seo checklist 2016",9,,,20,https://backlinko.com/on-page-seo,0.73,485000,"2017-10-29 03:55:06",51,10.00,
65,"2017 seo checklist",9,,,20,https://backlinko.com/on-page-seo,0.65,2570000,"2017-10-27 10:48:41",42,,
66,"seo keyword optimization",9,,,20,https://backlinko.com/on-page-seo,0.62,15300000,"2017-11-01 03:55:16",52,8.00,
67,"seo guidelines 2017",9,,,20,https://backlinko.com/on-page-seo,0.51,16000000,"2017-10-28 11:21:51",79,,
68,"how much is 3/4 of a page",3,,,30,https://backlinko.com/on-page-seo,0.47,561000000,"2017-10-28 00:29:45",0,,"Image pack"
69,"e 4 word picture example",5,,,30,https://backlinko.com/on-page-seo,0.45,333000000,"2017-09-20 16:12:13",6,,"Image pack"
70,"how to page search",9,,,10,https://backlinko.com/on-page-seo,0.45,34300000,"2017-09-29 19:49:41",53,,
71,"seo first page",9,,,10,https://backlinko.com/on-page-seo,0.42,2500000,"2017-09-23 16:20:29",23,10.00,
72,"what is on site seo",8,,,10,https://backlinko.com/on-page-seo,0.40,69000000,"2017-10-12 10:39:23",49,,
73,"seo example",6,,,30,https://backlinko.com/on-page-seo,0.38,145000000,"2017-11-03 10:30:19",44,,"Image pack"
74,"google search page image",1,,,10,https://backlinko.com/on-page-seo,0.37,306000000,"2017-10-08 01:40:46",10,,"Image pack"
75,"on site optimization",10,,,10,https://backlinko.com/on-page-seo,0.36,90100000,"2017-10-17 06:54:11",39,,
76,"to do pages",9,,,10,https://backlinko.com/on-page-seo,0.33,26700000,"2017-10-12 10:09:06",72,,
77,backlinco,1,,,10,https://backlinko.com/on-page-seo,0.09,164000,"2017-10-31 04:51:30",26,,"Site links"
78,backlinko.com,1,,,20,https://backlinko.com/on-page-seo,0.08,168000,"2017-11-06 09:10:56",38,,"Site links"
