#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"how to get backlinks",4,3,"2017-10-13 07:30:41",1100,https://backlinko.com/high-quality-backlinks,123,36600000,"2017-10-27 02:42:44",61,6.00,
2,"how to get backlink",3,,,300,https://backlinko.com/high-quality-backlinks,37,16100000,"2017-10-12 18:54:12",55,5.00,
3,"high quality backlinks",2,,,300,https://backlinko.com/high-quality-backlinks,35,8230000,"2017-10-22 15:22:09",47,10.00,
4,"get backlinks",3,,,300,https://backlinko.com/high-quality-backlinks,30,36500000,"2017-10-25 02:08:32",61,4.50,
5,"how to create backlinks",5,,,400,https://backlinko.com/high-quality-backlinks,29,1420000,"2017-10-23 12:05:31",59,5.00,
6,"how to get quality backlinks",2,,,150,https://backlinko.com/high-quality-backlinks,25,2200000,"2017-10-15 05:51:35",45,7.00,
7,"backlink building",3,1,"2017-09-24 01:27:03",200,https://backlinko.com/high-quality-backlinks,23,758000,"2017-10-25 12:25:15",73,6.00,
8,"how to build backlinks",5,7,"2017-09-28 22:18:52",250,https://backlinko.com/high-quality-backlinks,18,9420000,"2017-10-13 12:20:15",56,4.50,
9,"quality backlinks",3,,,100,https://backlinko.com/high-quality-backlinks,13,1730000,"2017-10-14 00:58:14",34,5.00,
10,"creating backlinks",6,,,150,https://backlinko.com/high-quality-backlinks,8,11500000,"2017-10-02 14:54:46",53,5.00,
11,"free high quality backlinks",1,,,20,https://backlinko.com/high-quality-backlinks,8,1070000,"2017-10-31 09:50:45",41,10.00,"Featured snippet"
12,"free quality backlinks",1,,,20,https://backlinko.com/high-quality-backlinks,7,1450000,"2017-11-05 11:06:34",45,,"Featured snippet"
13,"moving man method",1,,,20,https://backlinko.com/high-quality-backlinks,7,3280000,"2017-11-05 22:21:01",0,,
14,"quality backlink",5,,,100,https://backlinko.com/high-quality-backlinks,7,531000,"2017-10-30 18:49:26",52,8.00,
15,"building backlinks",8,,,200,https://backlinko.com/high-quality-backlinks,7,8800000,"2017-10-14 06:47:55",60,10.00,
16,"how to get high quality backlinks",2,,,40,https://backlinko.com/high-quality-backlinks,5,1120000,"2017-09-21 00:03:06",37,,
17,"create backlinks",8,7,"2017-09-26 00:03:51",200,https://backlinko.com/high-quality-backlinks,5,15100000,"2017-09-27 00:50:41",57,7.00,
18,"how to get back links",4,,,50,https://backlinko.com/high-quality-backlinks,4.6,36600000,"2017-10-25 20:45:01",62,7.00,
19,"getting backlinks",5,,,40,https://backlinko.com/high-quality-backlinks,3.2,1190000,"2017-11-04 21:34:09",64,,
20,"how to backlink",5,,,40,https://backlinko.com/high-quality-backlinks,3.0,16500000,"2017-09-21 11:04:01",54,13.00,
21,"build backlinks",9,,,100,https://backlinko.com/high-quality-backlinks,3.0,7800000,"2017-10-27 22:11:41",68,7.00,
22,"getting high quality backlinks",2,,,20,https://backlinko.com/high-quality-backlinks,2.9,1100000,"2017-09-20 17:36:26",26,5.00,
23,"how to create backlinks for seo",5,,,40,https://backlinko.com/high-quality-backlinks,2.9,11000000,"2017-09-28 19:52:38",57,14.00,
24,"getting quality backlinks",2,,,20,https://backlinko.com/high-quality-backlinks,2.9,2690000,"2017-10-26 04:22:49",36,5.00,
