#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"seo copywriting",5,6,"2017-10-23 04:05:14",700,https://backlinko.com/seo-copywriting,38,3920000,"2017-11-06 01:47:28",45,9.00,
2,"bucket brigades",1,,,100,https://backlinko.com/seo-copywriting,34,75100,"2017-10-31 10:27:53",27,,
3,"bucket brigade",9,16,"2017-10-20 19:38:46",1800,https://backlinko.com/seo-copywriting,21,1930000,"2017-11-03 09:26:29",22,0.70,
4,"seo copywriters",7,9,"2017-09-27 09:17:22",450,https://backlinko.com/seo-copywriting,20,246000,"2017-10-13 00:02:49",51,10.00,
5,"seo secret",5,,,80,https://backlinko.com/seo-copywriting,6,17700000,"2017-11-03 22:09:38",31,4.50,
6,"seo copywriter",7,,,100,https://backlinko.com/seo-copywriting,5,1180000,"2017-10-15 21:19:05",42,6.00,
7,"bucket brigade copywriting",1,,,10,https://backlinko.com/seo-copywriting,4.1,22500,"2017-10-22 00:25:13",12,,
8,"seo copywrite",8,,,90,https://backlinko.com/seo-copywriting,3.4,1340000,"2017-11-03 18:48:01",43,6.00,
9,"the bucket brigade",6,,,50,https://backlinko.com/seo-copywriting,3.3,1490000,"2017-10-26 23:20:37",22,,
10,"inurl content writer",9,,,40,https://backlinko.com/seo-copywriting,1.2,34800,"2017-09-23 23:47:37",12,,
11,"copywriting seo",6,,,10,https://backlinko.com/seo-copywriting,0.82,10300000,"2017-10-30 10:33:53",45,,
12,"backlinko blog",1,,,150,https://backlinko.com/seo-copywriting,0.77,126000,"2017-10-23 20:54:58",60,,"Site links"
13,"seo copywriting tips",6,,,10,https://backlinko.com/seo-copywriting,0.70,1050000,"2017-10-26 09:56:32",50,,
14,"appmethod review",9,,,20,https://backlinko.com/seo-copywriting,0.60,19800,"2017-10-29 11:07:43",0,,
15,"appmethod reviews",10,,,20,https://backlinko.com/seo-copywriting,0.49,46800,"2017-10-26 23:56:34",0,,
16,"promise deane",8,,,10,https://backlinko.com/seo-copywriting,0.46,378000,"2017-10-22 15:34:22",0,,
17,"seo for copywriters",9,,,10,https://backlinko.com/seo-copywriting,0.34,446000,"2017-10-25 06:04:57",49,,
18,backlinko.com,1,,,20,https://backlinko.com/seo-copywriting,0.08,168000,"2017-11-06 09:10:56",38,,"Site links"
