#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"keyword research tools",6,7,"2017-10-12 13:52:18",1400,https://backlinko.com/keyword-research-tools,78,4100000,"2017-10-26 05:41:48",78,,
2,"best keyword research tool",6,,,1400,https://backlinko.com/keyword-research-tools,62,1920000,"2017-10-26 05:27:36",30,10.00,
3,"keyword research tool",10,18,"2017-11-02 04:57:06",4600,https://backlinko.com/keyword-research-tools,12,5580000,"2017-11-05 01:13:30",88,9.00,
4,"best keyword research tools",7,,,250,https://backlinko.com/keyword-research-tools,10,3270000,"2017-10-08 10:31:46",31,9.00,
5,"best keyword tool",10,9,"2017-09-18 18:53:51",200,https://backlinko.com/keyword-research-tools,4.9,69600000,"2017-10-23 14:57:09",30,4.50,
6,"best keyword",7,,,90,https://backlinko.com/keyword-research-tools,4.1,20400000,"2017-10-27 15:04:12",43,4.50,
7,"semrush keyword research",8,,,80,https://backlinko.com/keyword-research-tools,3.3,171000,"2017-10-15 17:01:07",21,11.00,
8,"keyword research tools list",3,,,20,https://backlinko.com/keyword-research-tools,2.3,0,"2017-11-03 10:13:44",30,6.00,
9,"best keyword tools",10,,,150,https://backlinko.com/keyword-research-tools,2.3,5300000,"2017-10-16 18:13:17",28,8.00,
10,"best seo keyword research tools",5,,,30,https://backlinko.com/keyword-research-tools,2.1,13600000,"2017-10-01 02:05:54",40,8.00,
11,"best keyword search tool",7,,,40,https://backlinko.com/keyword-research-tools,2.0,15000000,"2017-10-27 23:23:25",31,8.00,
12,"best seo keyword research tool",6,,,30,https://backlinko.com/keyword-research-tools,1.7,18900000,"2017-11-01 19:10:51",42,3.00,
13,"top keyword research tool",6,,,30,https://backlinko.com/keyword-research-tools,1.7,9810000,"2017-10-01 16:06:07",38,,
14,"best keyword research",6,,,30,https://backlinko.com/keyword-research-tools,1.7,7540000,"2017-11-01 14:48:09",45,7.00,
15,"tools for keyword research",7,,,30,https://backlinko.com/keyword-research-tools,1.5,15600000,"2017-09-30 17:41:36",58,8.00,
16,"top keyword research tools",8,,,40,https://backlinko.com/keyword-research-tools,1.5,28800000,"2017-11-01 06:41:14",30,7.00,
17,"seo keyword research tools",5,,,20,https://backlinko.com/keyword-research-tools,1.5,784000,"2017-10-27 23:58:40",57,5.00,
18,"semrush keyword tool",10,,,50,https://backlinko.com/keyword-research-tools,1.2,318000,"2017-09-17 03:26:03",33,7.00,
19,"best seo keyword tool",8,,,30,https://backlinko.com/keyword-research-tools,1.2,3120000,"2017-10-25 20:53:48",42,4.00,
20,"best tool for keyword research",7,,,20,https://backlinko.com/keyword-research-tools,1.1,2540000,"2017-11-04 13:35:22",30,9.00,
21,"what is the best keyword research tool",8,,,20,https://backlinko.com/keyword-research-tools,0.86,2760000,"2017-11-04 07:21:14",30,6.00,
22,"the best keyword research tool",8,,,20,https://backlinko.com/keyword-research-tools,0.80,7920000,"2017-10-31 20:21:14",35,,
23,"best tools for keyword research",8,,,20,https://backlinko.com/keyword-research-tools,0.75,8320000,"2017-11-02 07:18:15",30,9.00,
24,"what is a keyword research tool",10,,,30,https://backlinko.com/keyword-research-tools,0.71,6510000,"2017-11-05 16:02:17",82,,
25,"top 5 keyword research tools",6,,,10,https://backlinko.com/keyword-research-tools,0.61,0,"2017-10-18 02:02:23",24,,
26,"best seo research tools",8,,,10,https://backlinko.com/keyword-research-tools,0.56,29500000,"2017-11-01 00:25:01",30,5.00,
27,"the best keyword tool",10,,,20,https://backlinko.com/keyword-research-tools,0.50,3580000,"2017-11-04 13:12:24",33,2.00,
28,"enter keyword here",7,,,10,https://backlinko.com/keyword-research-tools,0.50,24700000,"2017-10-19 17:28:44",4,,
29,"keyword research tools comparison",7,,,10,https://backlinko.com/keyword-research-tools,0.50,19400000,"2017-10-21 07:03:23",28,,
30,"best keyword research tool free",10,,,20,https://backlinko.com/keyword-research-tools,0.45,45400000,"2017-10-06 19:29:58",29,7.00,
31,"kw research tool",8,,,10,https://backlinko.com/keyword-research-tools,0.40,4010000,"2017-10-27 13:21:01",85,12.00,
32,"how to use semrush for keyword research",8,,,10,https://backlinko.com/keyword-research-tools,0.39,120000,"2017-10-17 20:04:51",17,,
33,"backlinko keyword research",1,,,20,https://backlinko.com/keyword-research-tools,0.35,539000,"2017-11-01 06:31:09",39,,"Site links"
34,"best keyword analysis tool",10,,,10,https://backlinko.com/keyword-research-tools,0.30,2200000,"2017-10-24 06:00:00",30,6.00,
35,"keyword research tools for seo",10,,,10,https://backlinko.com/keyword-research-tools,0.25,3070000,"2017-09-21 02:33:25",56,,
36,"looking for tools",10,,,20,https://backlinko.com/keyword-research-tools,0.08,893000000,"2017-11-05 13:39:17",22,0.80,"Image pack"
