#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"seo techniques",4,3,"2017-10-14 17:22:09",1800,https://backlinko.com/seo-techniques,182,14300000,"2017-10-28 08:28:43",37,10.00,
2,"search engine optimization techniques",1,,,300,https://backlinko.com/seo-techniques,98,21600000,"2017-10-20 04:19:40",57,12.00,"Featured snippet"
3,"search engine optimization technique",1,,,250,https://backlinko.com/seo-techniques,94,2430000,"2017-10-13 07:26:05",60,5.00,"Featured snippet"
4,"search engines optimization techniques",1,,,250,https://backlinko.com/seo-techniques,89,30000000,"2017-10-07 15:23:19",69,5.00,"Featured snippet"
5,"seo tactics",2,,,250,https://backlinko.com/seo-techniques,26,14600000,"2017-10-15 11:41:32",33,9.00,
6,"search engine optimization techniques",4,,,300,https://backlinko.com/seo-techniques,25,21600000,"2017-10-20 04:19:40",57,12.00,
7,"how to get seo",1,,,50,https://backlinko.com/seo-techniques,18,21000000,"2017-11-05 04:33:57",71,7.00,"Featured snippet"
8,"seo ideas",2,,,100,https://backlinko.com/seo-techniques,14,41500000,"2017-11-04 08:02:02",10,13.00,
9,"how to build seo",1,,,40,https://backlinko.com/seo-techniques,12,56200000,"2017-11-01 21:58:44",58,,"Featured snippet"
10,"search engine optimization technique",7,,,250,https://backlinko.com/seo-techniques,12,2430000,"2017-10-13 07:26:05",60,5.00,
11,"search engines optimization techniques",7,,,250,https://backlinko.com/seo-techniques,11,30000000,"2017-10-07 15:23:19",69,5.00,
12,"search optimization techniques",1,,,30,https://backlinko.com/seo-techniques,11,31500000,"2017-10-31 19:12:00",63,0.08,"Featured snippet"
13,"seo search engine optimization techniques",1,,,30,https://backlinko.com/seo-techniques,10,8030000,"2017-10-26 01:17:00",65,12.00,"Featured snippet"
14,"best seo practices",7,,,250,https://backlinko.com/seo-techniques,9,5700000,"2017-10-16 11:58:00",63,25.00,
15,"seo marketing techniques",4,,,80,https://backlinko.com/seo-techniques,7,9140000,"2017-10-28 22:52:40",57,,
16,"seo trick",8,,,150,https://backlinko.com/seo-techniques,6,17300000,"2017-10-03 04:16:51",35,7.00,
17,"how to get seo",3,,,50,https://backlinko.com/seo-techniques,6,21000000,"2017-11-05 04:33:57",71,7.00,
18,"seo strategies and techniques",3,,,50,https://backlinko.com/seo-techniques,6,5920000,"2017-11-05 23:14:48",52,7.00,
19,"seo tips 2016",8,6,"2017-09-19 15:49:04",150,https://backlinko.com/seo-techniques,5,5140000,"2017-10-25 07:09:10",56,6.00,
20,"better seo",4,,,50,https://backlinko.com/seo-techniques,5,149000000,"2017-10-31 17:17:02",54,20.00,
