#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"keyword competition",1,,,150,https://backlinko.com/keyword-competition,56,41400000,"2017-10-24 00:20:01",60,5.00,
2,"keyword competition tool",4,,,300,https://backlinko.com/keyword-competition,36,13600000,"2017-10-16 22:37:48",67,7.00,
3,"keyword competitive",2,,,150,https://backlinko.com/keyword-competition,20,56800000,"2017-10-01 06:38:15",67,6.00,
4,"keyword analize",8,,,500,https://backlinko.com/keyword-competition,18,67600,"2017-10-22 22:29:43",59,7.00,
5,"competitive keywords",2,,,70,https://backlinko.com/keyword-competition,10,322000000,"2017-10-31 15:49:11",26,4.50,
6,"keyword competition analysis",1,,,20,https://backlinko.com/keyword-competition,6,15700000,"2017-10-30 23:08:49",60,4.50,
7,"competitive keyword",5,,,70,https://backlinko.com/keyword-competition,5,768000,"2017-11-03 14:46:11",37,4.50,
8,"seo keyword competition analysis",1,,,10,https://backlinko.com/keyword-competition,3.7,3720000,"2017-11-04 20:14:49",62,12.00,
9,"competitive keyword analysis",5,,,40,https://backlinko.com/keyword-competition,3.3,3100000,"2017-11-05 19:47:38",49,8.00,
10,"competitors keyword analysis",8,,,80,https://backlinko.com/keyword-competition,3.2,1050000,"2017-11-04 15:13:24",50,7.00,
11,"backlinko keyword research",2,,,20,https://backlinko.com/keyword-competition,2.8,539000,"2017-11-01 06:31:09",39,,
12,"google keyword competition",4,,,30,https://backlinko.com/keyword-competition,2.4,5010000,"2017-11-03 18:30:30",73,,
13,"competitive keyword research",5,,,30,https://backlinko.com/keyword-competition,2.1,2740000,"2017-09-28 22:34:15",37,7.00,
14,"google search competition",7,,,30,https://backlinko.com/keyword-competition,1.4,30700000,"2017-10-31 20:09:43",25,,
15,"keyword competition tool free",7,,,30,https://backlinko.com/keyword-competition,1.3,76400000,"2017-11-01 20:42:44",81,8.00,
16,"google keywords competition",6,,,20,https://backlinko.com/keyword-competition,1.2,7430000,"2017-09-22 23:12:24",71,,
17,"analyse keywords",10,,,50,https://backlinko.com/keyword-competition,1.2,184000000,"2017-10-27 01:22:35",84,4.00,
18,"competition keyword tool",6,,,20,https://backlinko.com/keyword-competition,1.2,13200000,"2017-10-29 02:41:10",80,7.00,
19,"keyword research competitors",5,,,10,https://backlinko.com/keyword-competition,0.97,1420000,"2017-10-19 10:32:55",56,8.00,
20,"competitor keyword research",9,,,30,https://backlinko.com/keyword-competition,0.84,1470000,"2017-10-29 07:37:01",35,8.00,
21,"keyword competition checker",5,,,10,https://backlinko.com/keyword-competition,0.73,365000,"2017-10-10 20:32:46",79,,
22,"analyze competitors keywords",9,8,"2017-09-19 00:23:09",10,https://backlinko.com/keyword-competition,0.42,880000,"2017-11-05 22:06:34",48,8.00,
23,"free keyword competition checker",10,,,10,https://backlinko.com/keyword-competition,0.25,3150000,"2017-10-26 07:28:39",56,7.00,
