#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"google backlinks",3,,,250,https://backlinko.com/google-trustrank,19,36600000,"2017-10-25 08:26:01",71,6.00,
2,"google trust",5,,,90,https://backlinko.com/google-trustrank,7,6140000,"2017-10-30 17:16:21",45,2.50,
3,"backlinks google",4,,,60,https://backlinko.com/google-trustrank,5,38200000,"2017-09-25 08:49:20",52,4.50,
4,"google backlink",2,,,40,https://backlinko.com/google-trustrank,5,16300000,"2017-11-03 22:10:42",67,6.00,
5,"google hates",3,,,30,https://backlinko.com/google-trustrank,3.4,34500000,"2017-10-26 19:29:35",4,,
6,trustrank,3,,,20,https://backlinko.com/google-trustrank,2.8,352000,"2017-09-20 17:59:57",53,,
7,"site trust",9,,,90,https://backlinko.com/google-trustrank,2.7,376000000,"2017-10-29 14:38:05",66,,
8,"why does google hate me",10,,,100,https://backlinko.com/google-trustrank,2.6,19500000,"2017-10-30 10:04:42",0,,
9,"trust rank",3,,,20,https://backlinko.com/google-trustrank,1.9,226000000,"2017-10-18 09:23:04",54,11.00,
10,"website trust score",4,,,20,https://backlinko.com/google-trustrank,1.9,99700000,"2017-10-30 02:53:45",43,,
11,"why is my site not ranking",7,,,10,https://backlinko.com/google-trustrank,0.48,43500000,"2017-10-08 01:27:50",17,,
12,"why is my website not ranking on google",9,,,10,https://backlinko.com/google-trustrank,0.40,28100000,"2017-09-23 04:13:32",18,2.50,
13,"why is my website not ranking",10,,,10,https://backlinko.com/google-trustrank,0.25,95100000,"2017-10-24 08:06:10",7,4.00,
