#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"ecommerce seo",2,,,800,https://backlinko.com/ecommerce-seo,149,24400000,"2017-11-02 07:36:10",35,30.00,
2,"seo for ecommerce",1,,,200,https://backlinko.com/ecommerce-seo,109,24900000,"2017-10-25 06:17:13",34,25.00,"Featured snippet"
3,"seo for ecommerce",5,6,"2017-09-19 22:32:22",200,https://backlinko.com/ecommerce-seo,22,24900000,"2017-10-25 06:17:13",34,25.00,
4,"seo ecommerce",4,,,100,https://backlinko.com/ecommerce-seo,10,23000000,"2017-10-14 00:27:42",44,25.00,
5,"seo for ecommerce sites",1,,,10,https://backlinko.com/ecommerce-seo,5.0,16000000,"2017-11-05 16:43:46",35,17.00,"Featured snippet"
6,"ecommerce seo strategy",2,,,20,https://backlinko.com/ecommerce-seo,2.9,3600000,"2017-09-17 12:18:41",30,18.00,
7,"seo for ecommerce websites",5,,,30,https://backlinko.com/ecommerce-seo,2.3,12300000,"2017-10-25 16:37:17",33,25.00,
8,"ecommerce link building",5,,,30,https://backlinko.com/ecommerce-seo,2.1,7930000,"2017-10-29 07:44:51",17,,
9,"seo for ecommerce site",6,,,20,https://backlinko.com/ecommerce-seo,1.3,7060000,"2017-09-22 22:34:31",41,20.00,
10,"ecommerce and seo",6,,,20,https://backlinko.com/ecommerce-seo,1.2,2410000,"2017-09-23 13:37:48",42,,
11,"seo for ecommerce sites",5,,,10,https://backlinko.com/ecommerce-seo,1.0,16000000,"2017-11-05 16:43:46",35,17.00,
12,"ecommerce seo best practice",10,,,20,https://backlinko.com/ecommerce-seo,0.49,1210000,"2017-09-30 12:41:28",38,,
13,"ecommerce seo best practices",10,,,20,https://backlinko.com/ecommerce-seo,0.48,1590000,"2017-10-26 20:24:29",30,2.50,
