#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"youtube ranking",5,,,200,https://backlinko.com/youtube-ranking-factors,14,90700000,"2017-10-07 19:36:12",53,2.50,
2,"youtube ranking factors",3,,,80,https://backlinko.com/youtube-ranking-factors,8,3500000,"2017-11-04 00:17:32",11,,
3,"youtube search engine ranking",4,,,70,https://backlinko.com/youtube-ranking-factors,6,4220000,"2017-09-23 03:06:25",43,3.00,
4,"do comments help youtube ranking",1,,,20,https://backlinko.com/youtube-ranking-factors,5,11300000,"2017-11-05 23:32:05",12,,
5,"youtube search ranking",4,,,60,https://backlinko.com/youtube-ranking-factors,5,41500000,"2017-10-27 14:48:03",39,1.80,
6,"youtube video ranking",4,,,50,https://backlinko.com/youtube-ranking-factors,4.8,39300000,"2017-11-01 19:23:17",41,,
7,"youtube o com",2,,,30,https://backlinko.com/youtube-ranking-factors,4.4,901000000,"2017-10-30 11:46:45",64,,
8,"youtube channel ratings",10,13,"2017-09-19 07:05:08",150,https://backlinko.com/youtube-ranking-factors,4.4,15200000,"2017-10-25 06:05:28",18,0.35,
9,"youtube search algorithm",9,,,100,https://backlinko.com/youtube-ranking-factors,3.8,40100000,"2017-10-07 22:34:36",36,,
10,"long videos on youtube",7,,,80,https://backlinko.com/youtube-ranking-factors,3.7,272000000,"2017-10-30 16:06:36",41,,
11,"how to rank videos on youtube",8,,,60,https://backlinko.com/youtube-ranking-factors,2.4,23600000,"2017-10-26 22:17:38",14,,
12,"youtube seo 2017",8,,,60,https://backlinko.com/youtube-ranking-factors,2.2,11300000,"2017-10-26 10:52:31",2,,
13,"search videos on youtube",5,,,30,https://backlinko.com/youtube-ranking-factors,2.1,278000000,"2017-11-05 11:48:09",42,0.60,
14,"video rankings",7,,,40,https://backlinko.com/youtube-ranking-factors,1.9,59500000,"2017-09-22 09:01:47",36,,
15,"youtube channel rank",10,,,60,https://backlinko.com/youtube-ranking-factors,1.5,11000000,"2017-09-24 15:12:57",29,,
16,"youtube search results",8,,,40,https://backlinko.com/youtube-ranking-factors,1.4,66600000,"2017-10-30 16:47:04",40,,
17,"subscriber chart youtube",9,,,40,https://backlinko.com/youtube-ranking-factors,1.2,1050000,"2017-11-03 12:40:12",26,,
18,"video quality chart",1,,,10,https://backlinko.com/youtube-ranking-factors,1.1,153000000,"2017-10-31 22:52:09",79,8.00,"Image pack"
19,"youtube view ranking",10,,,40,https://backlinko.com/youtube-ranking-factors,0.96,60000000,"2017-11-04 18:08:55",45,,
20,"youtube video rankings",7,,,20,https://backlinko.com/youtube-ranking-factors,0.93,14700000,"2017-11-04 08:05:07",21,,
21,"subscriptions driven",6,,,10,https://backlinko.com/youtube-ranking-factors,0.82,51500000,"2017-10-15 02:42:37",2,,
22,"youtube popularity chart",4,,,40,https://backlinko.com/youtube-ranking-factors,0.72,73600000,"2017-10-30 13:47:00",48,,"Image pack"
23,"youtube view count ranking",9,7,"2017-09-16 16:27:31",20,https://backlinko.com/youtube-ranking-factors,0.67,8740000,"2017-11-05 22:55:02",26,,
24,"report seo vali",9,,,20,https://backlinko.com/youtube-ranking-factors,0.62,115000,"2017-09-23 20:39:08",14,,
25,"youtuber subscriber chart",10,,,10,https://backlinko.com/youtube-ranking-factors,0.35,2990000,"2017-10-20 16:02:56",24,,
26,"youtube rankings 2017",10,,,10,https://backlinko.com/youtube-ranking-factors,0.35,34900000,"2017-10-27 08:31:59",28,,
27,"youtube views chart",8,,,40,https://backlinko.com/youtube-ranking-factors,0.33,6880000,"2017-10-27 17:05:40",45,,"Image pack"
