#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"link building",3,4,"2017-11-02 04:50:52",3200,https://backlinko.com/link-building,305,98500000,"2017-11-05 01:57:03",80,7.00,
2,"seo link builder",4,6,"2017-10-06 05:15:36",350,https://backlinko.com/link-building,34,7940000,"2017-10-22 00:27:25",74,16.00,
3,"link building strategies",6,4,"2017-10-22 15:20:34",500,https://backlinko.com/link-building,27,12600000,"2017-11-05 02:28:17",64,6.00,
4,backlinko,1,,,2400,https://backlinko.com/link-building,26,164000,"2017-11-03 09:05:12",25,,"Site links"
5,"seo link building",4,,,300,https://backlinko.com/link-building,22,5790000,"2017-10-18 19:06:39",72,9.00,
6,"seo linking strategy",4,,,200,https://backlinko.com/link-building,21,1930000,"2017-10-13 18:49:46",63,,
7,"link building 2017",2,,,150,https://backlinko.com/link-building,18,169000000,"2017-10-15 05:01:23",55,,
8,linkbuilding,5,,,300,https://backlinko.com/link-building,17,95000000,"2017-10-21 21:04:22",79,,
9,"what is link building",6,,,350,https://backlinko.com/link-building,16,90500000,"2017-10-18 18:43:36",77,9.00,
10,"building links",5,4,"2017-10-11 12:00:44",250,https://backlinko.com/link-building,15,828000000,"2017-10-25 01:37:06",77,0.70,
11,"what is link builder",6,,,250,https://backlinko.com/link-building,15,563000000,"2017-10-16 19:44:33",68,,
12,"backlink building",5,2,"2017-09-24 01:27:03",200,https://backlinko.com/link-building,15,758000,"2017-10-25 12:25:15",73,6.00,
13,"seo link strategy",6,,,250,https://backlinko.com/link-building,14,2810000,"2017-10-02 14:39:23",72,,
14,"seo linking strategies",6,,,250,https://backlinko.com/link-building,14,1170000,"2017-10-07 16:27:32",66,,
15,"seo backlinks",9,,,700,https://backlinko.com/link-building,14,10200000,"2017-10-25 05:49:22",60,10.00,
16,"seo backlink",8,6,"2017-10-06 07:44:08",350,https://backlinko.com/link-building,14,1060000,"2017-10-21 23:34:25",70,11.00,
17,"link and build",4,,,100,https://backlinko.com/link-building,10,617000000,"2017-10-05 18:20:52",81,,
18,"seo linking",6,,,150,https://backlinko.com/link-building,10,21200000,"2017-10-04 21:16:42",77,7.00,
19,"seo link",7,,,200,https://backlinko.com/link-building,9,110000000,"2017-10-25 18:28:21",78,7.00,
20,"backlinko link building",1,,,20,https://backlinko.com/link-building,8,64800,"2017-09-16 23:06:37",65,,
21,"link builder seo",5,,,100,https://backlinko.com/link-building,8,2480000,"2017-10-05 14:36:26",73,19.00,
22,"link building guide",1,,,20,https://backlinko.com/link-building,7,94100000,"2017-10-31 08:11:26",79,,
23,"how to build links",5,,,90,https://backlinko.com/link-building,7,510000000,"2017-11-01 05:54:28",76,1.80,
24,"link building seo",6,3,"2017-09-19 09:35:39",100,https://backlinko.com/link-building,6,6710000,"2017-10-25 06:05:37",75,7.00,
25,"whitehat link building",5,,,80,https://backlinko.com/link-building,6,542000,"2017-11-03 19:31:14",42,9.00,
26,"seo links",9,7,"2017-09-13 02:13:46",150,https://backlinko.com/link-building,5,79200000,"2017-10-15 23:40:54",76,14.00,
27,"link building campaign",6,,,80,https://backlinko.com/link-building,4.9,30000000,"2017-10-30 22:26:08",30,3.00,
28,"link building strategy",6,,,80,https://backlinko.com/link-building,4.7,15900000,"2017-10-31 04:53:04",65,9.00,
29,"building seo",6,,,70,https://backlinko.com/link-building,4.5,113000000,"2017-11-04 08:57:41",74,6.00,
30,"how to do link building",6,,,60,https://backlinko.com/link-building,3.8,80700000,"2017-11-04 00:18:44",76,10.00,
31,"link build",3,,,30,https://backlinko.com/link-building,3.8,737000000,"2017-09-17 18:50:38",76,11.00,
32,"how to link build",4,,,40,https://backlinko.com/link-building,3.8,643000000,"2017-11-04 04:58:32",80,2.50,
33,"broken link building backlinko",1,,,10,https://backlinko.com/link-building,3.7,77400,"2017-10-24 08:09:30",74,,
34,"build links",5,,,50,https://backlinko.com/link-building,3.5,605000000,"2017-10-30 12:05:16",82,0.70,
35,"quality links",3,,,30,https://backlinko.com/link-building,3.4,1380000000,"2017-10-25 17:50:26",65,,
36,"link building for seo",6,5,"2017-09-19 05:03:24",60,https://backlinko.com/link-building,3.4,7490000,"2017-11-05 21:11:11",77,,
37,"backlinking strategies",7,,,70,https://backlinko.com/link-building,3.2,288000,"2017-10-26 18:49:18",66,,
38,"backlinking strategy",6,,,50,https://backlinko.com/link-building,3.1,2530000,"2017-10-29 19:49:53",61,,
39,"link building expert",5,,,40,https://backlinko.com/link-building,2.9,14000000,"2017-10-24 21:14:24",58,13.00,
40,"link building techniques",7,,,60,https://backlinko.com/link-building,2.8,21500000,"2017-10-24 21:26:32",63,3.50,
41,"how to get backlinks 2017",2,,,20,https://backlinko.com/link-building,2.8,6710000,"2017-10-28 10:01:46",56,,
