#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"seo ranking factors 2016",1,,,150,https://backlinko.com/search-engine-ranking,77,6860000,"2017-10-04 01:29:25",83,13.00,
2,"google ranking factors 2016",2,,,150,https://backlinko.com/search-engine-ranking,18,2050000,"2017-10-25 08:07:57",81,13.00,
3,"search engine ranking",10,11,"2017-09-28 22:08:03",450,https://backlinko.com/search-engine-ranking,10,38600000,"2017-10-14 20:24:25",72,6.00,
4,"seo factors 2016",1,,,20,https://backlinko.com/search-engine-ranking,6,6020000,"2017-09-30 12:06:06",82,,
5,"google search engine rankings",6,,,100,https://backlinko.com/search-engine-ranking,5,1780000,"2017-10-28 23:01:12",75,2.50,
6,"search engine ranking factors 2016",1,,,10,https://backlinko.com/search-engine-ranking,5,2630000,"2017-09-21 10:18:37",88,25.00,
7,"#1 images",1,,,150,https://backlinko.com/search-engine-ranking,4.1,211000000,"2017-10-22 22:26:42",92,3.00,"Image pack"
8,"are backlinks still important 2016",2,,,20,https://backlinko.com/search-engine-ranking,2.8,1770000,"2017-10-31 08:18:38",56,,
9,"search engine ranking results",4,,,20,https://backlinko.com/search-engine-ranking,1.9,4120000,"2017-10-31 22:38:11",77,,
10,"search engine rank",10,,,70,https://backlinko.com/search-engine-ranking,1.7,35200000,"2017-10-30 09:07:03",78,9.00,
11,"google search words ranking",8,,,30,https://backlinko.com/search-engine-ranking,1.2,31200000,"2017-10-26 11:02:39",75,1.00,
12,"seo study",6,,,20,https://backlinko.com/search-engine-ranking,1.2,48400000,"2017-09-17 16:46:06",28,,
13,"search we",8,,,20,https://backlinko.com/search-engine-ranking,0.93,2160000000,"2017-09-16 12:34:52",17,,
14,"higher word",9,,,100,https://backlinko.com/search-engine-ranking,0.62,915000000,"2017-11-01 04:22:02",6,1.20,"Image pack"
15,"google results page looks different",6,7,"2017-09-17 23:57:19",40,https://backlinko.com/search-engine-ranking,0.43,158000000,"2017-11-06 03:59:53",1,,"Image pack"
16,"what does a case number look like",1,,,10,https://backlinko.com/search-engine-ranking,0.43,772000000,"2017-10-16 05:21:41",0,,"Image pack"
17,"+1 image",1,,,10,https://backlinko.com/search-engine-ranking,0.35,353000000,"2017-10-17 22:56:59",63,,"Image pack"
18,"ranking in google search results",9,,,10,https://backlinko.com/search-engine-ranking,0.31,8730000,"2017-10-21 13:18:28",69,,
19,"word count for seo",9,,,10,https://backlinko.com/search-engine-ranking,0.31,1850000,"2017-10-18 07:30:46",14,,
20,"rate google search results",10,,,10,https://backlinko.com/search-engine-ranking,0.30,22900000,"2017-10-17 20:13:10",48,,
21,"better google ranking",10,,,10,https://backlinko.com/search-engine-ranking,0.30,116000000,"2017-10-06 05:32:07",44,,
22,"best google search results",5,,,20,https://backlinko.com/search-engine-ranking,0.29,65700000,"2017-10-29 18:17:29",25,,"Image pack"
23,"+1 image",10,,,10,https://backlinko.com/search-engine-ranking,0.29,353000000,"2017-10-17 22:56:59",63,,
24,"google search top results",10,,,10,https://backlinko.com/search-engine-ranking,0.25,351000000,"2017-10-27 15:38:46",36,,
25,"speed direct results",4,,,10,https://backlinko.com/search-engine-ranking,0.18,868000000,"2017-10-30 14:15:53",3,,"Image pack"
26,"number domains",9,,,20,https://backlinko.com/search-engine-ranking,0.10,5880000,"2017-11-01 10:34:51",14,,"Image pack"
