#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"guest blogging",4,7,"2017-10-22 04:47:39",500,https://backlinko.com/the-definitive-guide-to-guest-blogging,38,12100000,"2017-11-05 04:37:10",59,4.50,
2,"guest posting",4,5,"2017-10-08 12:48:34",300,https://backlinko.com/the-definitive-guide-to-guest-blogging,23,26100000,"2017-10-22 19:12:36",57,3.50,
3,"guest blogger",5,,,200,https://backlinko.com/the-definitive-guide-to-guest-blogging,10,53100000,"2017-10-21 21:30:59",56,8.00,
4,"guest blog post",6,,,90,https://backlinko.com/the-definitive-guide-to-guest-blogging,5,20200000,"2017-09-22 03:35:31",53,5.00,
5,"guest blog",9,6,"2017-09-21 23:33:32",150,https://backlinko.com/the-definitive-guide-to-guest-blogging,5,38300000,"2017-10-23 18:27:09",62,4.50,
6,"guest bloggers",1,,,10,https://backlinko.com/the-definitive-guide-to-guest-blogging,5,19900000,"2017-10-15 09:44:19",48,,"Featured snippet"
7,"guest blogger opportunities",5,,,70,https://backlinko.com/the-definitive-guide-to-guest-blogging,5,2420000,"2017-11-02 13:35:19",42,,
8,"how to guest blog",7,,,100,https://backlinko.com/the-definitive-guide-to-guest-blogging,5,28000000,"2017-10-29 18:01:11",54,6.00,
9,"guest posts",8,,,100,https://backlinko.com/the-definitive-guide-to-guest-blogging,4.2,46000000,"2017-11-05 18:48:21",57,2.50,
10,"guest blog posting",7,,,90,https://backlinko.com/the-definitive-guide-to-guest-blogging,4.1,8780000,"2017-10-31 13:15:28",63,4.00,
11,"guest blogging opportunities",5,,,50,https://backlinko.com/the-definitive-guide-to-guest-blogging,4.1,1980000,"2017-09-25 02:08:33",37,2.50,
12,"guest blogging guide",3,,,30,https://backlinko.com/the-definitive-guide-to-guest-blogging,3.4,5220000,"2017-10-31 07:05:46",48,,
13,"what is guest blogging",10,,,100,https://backlinko.com/the-definitive-guide-to-guest-blogging,3.0,4420000,"2017-10-12 08:09:11",44,,
14,"guest post blogger",8,,,60,https://backlinko.com/the-definitive-guide-to-guest-blogging,2.5,7020000,"2017-11-04 12:20:23",58,,
15,"what is guest posting",9,,,80,https://backlinko.com/the-definitive-guide-to-guest-blogging,2.5,7800000,"2017-10-29 13:24:23",43,,
16,"guest post on blog",7,,,50,https://backlinko.com/the-definitive-guide-to-guest-blogging,2.3,33600000,"2017-11-04 04:08:19",58,,
17,guestblogging,4,,,20,https://backlinko.com/the-definitive-guide-to-guest-blogging,2.1,12200000,"2017-10-26 21:28:42",61,,
18,"what is a guest post",8,,,50,https://backlinko.com/the-definitive-guide-to-guest-blogging,1.9,36500000,"2017-11-04 17:53:59",56,,
19,"guest post seo",4,,,20,https://backlinko.com/the-definitive-guide-to-guest-blogging,1.9,3000000,"2017-09-17 02:44:42",26,,
20,"guest posts seo",4,,,20,https://backlinko.com/the-definitive-guide-to-guest-blogging,1.9,4700000,"2017-10-31 06:50:07",16,,
21,"how to write a guest blog post",7,,,40,https://backlinko.com/the-definitive-guide-to-guest-blogging,1.8,5840000,"2017-11-05 02:18:38",54,,
22,"guest blog opportunities",7,,,30,https://backlinko.com/the-definitive-guide-to-guest-blogging,1.4,3020000,"2017-11-01 17:46:06",39,1.60,
23,"guest blogs",10,,,40,https://backlinko.com/the-definitive-guide-to-guest-blogging,1.0,6270000,"2017-10-30 15:24:14",54,4.00,
24,"how to guest post",6,,,10,https://backlinko.com/the-definitive-guide-to-guest-blogging,0.85,37900000,"2017-11-04 08:14:22",57,,
25,"how to find guest blogging opportunities",6,,,10,https://backlinko.com/the-definitive-guide-to-guest-blogging,0.78,1690000,"2017-10-31 20:31:35",42,2.00,
26,"guest blog posts",8,,,20,https://backlinko.com/the-definitive-guide-to-guest-blogging,0.78,86400000,"2017-11-04 10:19:49",54,5.00,
27,"backlinko blog",1,,,150,https://backlinko.com/the-definitive-guide-to-guest-blogging,0.77,126000,"2017-10-23 20:54:58",60,,"Site links"
28,"guest bloggers",8,,,10,https://backlinko.com/the-definitive-guide-to-guest-blogging,0.56,19900000,"2017-10-15 09:44:19",48,,
29,myguestblog,8,,,10,https://backlinko.com/the-definitive-guide-to-guest-blogging,0.43,37200000,"2017-10-01 07:35:38",61,1.20,
