#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,backlinko,1,,,2400,https://backlinko.com/,1449,164000,"2017-11-03 09:05:12",25,,
2,"brian dean",1,,,1200,https://backlinko.com/,432,106000000,"2017-10-28 08:34:29",38,0.35,
3,"brian dean seo",1,,,150,https://backlinko.com/,52,553000,"2017-10-24 17:48:28",36,,
4,"backlinko blog",2,,,150,https://backlinko.com/,18,126000,"2017-10-23 20:54:58",60,,
5,"brian dean backlinko",1,,,50,https://backlinko.com/,15,33500,"2017-09-22 18:48:00",21,,
6,"seo link strategy",7,,,250,https://backlinko.com/,11,2810000,"2017-10-02 14:39:23",72,,
7,"brian seo",1,,,30,https://backlinko.com/,10,22000000,"2017-09-24 21:14:21",1,,
8,"bryan dean",3,,,70,https://backlinko.com/,7,55700000,"2017-10-01 20:13:04",1,0.07,
9,backlinko.com,1,,,20,https://backlinko.com/,7,168000,"2017-11-06 09:10:56",38,,
10,"brain dean",1,,,20,https://backlinko.com/,7,93200000,"2017-09-20 20:42:00",22,,
11,backlinco,1,,,10,https://backlinko.com/,4.6,164000,"2017-10-31 04:51:30",26,,
12,"backlinko link building",3,,,20,https://backlinko.com/,2.8,64800,"2017-09-16 23:06:37",65,,
13,"bryan dean",4,,,70,https://backlinko.com/,0.87,55700000,"2017-10-01 20:13:04",1,0.07,"Image pack"
14,backlinker,8,,,20,https://backlinko.com/,0.63,92800,"2017-11-02 01:38:45",75,,
15,"brian dean",8,7,"2017-10-14 17:18:21",1200,https://backlinko.com/,0.30,106000000,"2017-10-28 08:34:29",38,0.35,"Image pack"
16,"backlink strategies",10,,,10,https://backlinko.com/,0.30,432000,"2017-10-22 11:02:35",67,,
17,"brain dean",7,,,20,https://backlinko.com/,0.17,93200000,"2017-09-20 20:42:00",22,,"Image pack"
