#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"long tail keywords",5,6,"2017-11-01 02:44:19",3200,https://backlinko.com/long-tail-keywords,140,2810000,"2017-11-04 03:35:20",60,9.00,
2,"long tail keywords tool",1,,,150,https://backlinko.com/long-tail-keywords,49,1790000,"2017-10-15 12:47:07",76,8.00,
3,"longtail keywords tool",1,,,150,https://backlinko.com/long-tail-keywords,48,1800000,"2017-10-05 23:17:56",83,6.00,
4,"long tail keyword research",1,,,100,https://backlinko.com/long-tail-keywords,35,3560000,"2017-11-04 15:51:09",60,8.00,
5,"long tail keyword tool",6,2,"2017-09-28 16:52:44",350,https://backlinko.com/long-tail-keywords,23,1620000,"2017-10-14 16:31:12",72,7.00,
6,"longtail keyword tool",4,,,150,https://backlinko.com/long-tail-keywords,20,461000,"2017-10-22 23:27:40",75,9.00,
7,"how to find long tail keywords",2,,,150,https://backlinko.com/long-tail-keywords,20,19500000,"2017-10-14 00:20:07",51,7.00,
8,"longtail keyword research tool",1,,,50,https://backlinko.com/long-tail-keywords,16,401000,"2017-10-01 18:25:56",76,9.00,
9,"how to find longtail keywords",2,,,100,https://backlinko.com/long-tail-keywords,14,4160000,"2017-09-24 20:16:26",48,6.00,
10,"find long tail keywords",2,,,100,https://backlinko.com/long-tail-keywords,14,19600000,"2017-11-03 21:10:38",57,6.00,
11,"long tail keyword research tool",1,,,40,https://backlinko.com/long-tail-keywords,14,1990000,"2017-09-30 17:44:03",75,9.00,
12,"longtail keywords",5,6,"2017-09-27 00:21:37",350,https://backlinko.com/long-tail-keywords,11,2670000,"2017-10-12 13:00:41",59,8.00,
13,"longtail keyword research",2,,,80,https://backlinko.com/long-tail-keywords,11,401000,"2017-10-28 16:06:42",59,7.00,
14,"long-tail keywords",6,,,300,https://backlinko.com/long-tail-keywords,10,2990000,"2017-10-15 04:45:28",59,8.00,
15,"long tail keyword",6,5,"2017-09-27 02:42:31",300,https://backlinko.com/long-tail-keywords,9,2010000,"2017-10-12 21:25:55",67,10.00,
16,"long tail keyword search",2,,,50,https://backlinko.com/long-tail-keywords,7,4230000,"2017-10-04 22:57:44",61,7.00,
17,"longtail keyword",6,5,"2017-09-12 20:54:39",200,https://backlinko.com/long-tail-keywords,6,534000,"2017-10-14 12:34:32",67,9.00,
18,"free long tail keyword tool",6,,,100,https://backlinko.com/long-tail-keywords,6,2630000,"2017-10-29 00:44:49",73,6.00,
19,"longtail searches",7,,,150,https://backlinko.com/long-tail-keywords,6,5480000,"2017-10-05 17:05:50",61,14.00,
20,"long tail keyword search tool",1,,,10,https://backlinko.com/long-tail-keywords,4.4,7930000,"2017-10-24 05:49:15",84,6.00,
21,"long tail keyword finder",5,,,60,https://backlinko.com/long-tail-keywords,4.3,1320000,"2017-11-03 13:40:12",85,6.00,
22,"longtail keyword search",2,,,30,https://backlinko.com/long-tail-keywords,4.2,5250000,"2017-09-17 23:46:42",53,6.00,
23,"long tailed keywords",6,,,70,https://backlinko.com/long-tail-keywords,4.2,1100000,"2017-10-31 20:43:22",60,9.00,
24,"long tail search",7,,,80,https://backlinko.com/long-tail-keywords,4.0,36900000,"2017-10-31 14:20:21",69,6.00,
25,"best long tail keyword research tool",1,,,10,https://backlinko.com/long-tail-keywords,3.9,1490000,"2017-11-04 20:43:38",61,10.00,
26,"what are long tailed keywords",8,,,100,https://backlinko.com/long-tail-keywords,3.9,855000,"2017-09-23 22:30:37",56,2.50,
27,"long tail search tool",1,,,10,https://backlinko.com/long-tail-keywords,3.7,14000000,"2017-10-21 18:18:55",73,7.00,
28,"keyword long tail",5,,,50,https://backlinko.com/long-tail-keywords,3.5,2040000,"2017-11-04 19:23:48",59,6.00,
29,"long tail keywords search",3,,,30,https://backlinko.com/long-tail-keywords,3.4,28900000,"2017-10-26 21:11:20",73,8.00,
30,"what is a long tail keyword",8,12,"2017-09-18 16:23:50",150,https://backlinko.com/long-tail-keywords,3.0,1890000,"2017-10-23 03:33:16",59,9.00,
31,"how to find long tail keywords free",3,,,30,https://backlinko.com/long-tail-keywords,3.0,2780000,"2017-10-28 18:08:14",62,0.50,
32,"long-tail keyword",6,,,50,https://backlinko.com/long-tail-keywords,2.8,1910000,"2017-11-05 21:34:28",60,4.50,
33,"best long tail keyword tool",3,,,20,https://backlinko.com/long-tail-keywords,2.4,7030000,"2017-11-01 03:01:44",72,0.60,
34,"finding long tail keywords",3,,,20,https://backlinko.com/long-tail-keywords,2.4,1930000,"2017-11-01 06:41:03",52,9.00,
35,"long tail key words",5,,,30,https://backlinko.com/long-tail-keywords,2.3,5580000,"2017-10-30 16:21:10",60,5.00,
36,"backlinko keyword research",3,,,20,https://backlinko.com/long-tail-keywords,2.2,539000,"2017-11-01 06:31:09",39,,
37,"how to use long tail keywords",8,,,60,https://backlinko.com/long-tail-keywords,2.2,19000000,"2017-11-03 16:36:41",61,,
38,"how to find long tail keywords using google keyword tool",3,,,20,https://backlinko.com/long-tail-keywords,1.9,711000,"2017-10-31 22:38:41",37,,
39,"best free long tail keyword tool",3,,,20,https://backlinko.com/long-tail-keywords,1.9,1620000,"2017-11-04 03:17:47",82,,
40,"what is long tail keywords",7,,,40,https://backlinko.com/long-tail-keywords,1.8,2940000,"2017-10-27 16:30:35",58,7.00,
41,"long tail keywords free",2,,,10,https://backlinko.com/long-tail-keywords,1.8,31200000,"2017-10-20 15:50:51",60,,
42,"long tail keyword tool free",4,,,20,https://backlinko.com/long-tail-keywords,1.7,8390000,"2017-09-21 00:37:50",47,,
43,"what are long tail keywords",8,,,100,https://backlinko.com/long-tail-keywords,1.7,2960000,"2017-10-02 15:07:03",58,9.00,
44,"long tail keywords examples",8,,,40,https://backlinko.com/long-tail-keywords,1.6,1830000,"2017-09-22 02:34:34",44,11.00,
45,"long tail keywords example",10,,,70,https://backlinko.com/long-tail-keywords,1.6,1940000,"2017-11-03 22:39:49",62,,
46,"longtail keyword tool free",5,,,20,https://backlinko.com/long-tail-keywords,1.5,2550000,"2017-10-26 23:27:19",73,5.00,
47,"find longtail keywords",2,,,10,https://backlinko.com/long-tail-keywords,1.5,4700000,"2017-10-27 08:16:49",59,13.00,
48,"find long tail keywords free",2,,,10,https://backlinko.com/long-tail-keywords,1.5,38700000,"2017-10-12 00:18:51",84,8.00,
49,"long tail research",3,,,10,https://backlinko.com/long-tail-keywords,1.4,4580000,"2017-09-24 17:04:25",67,,
50,"long tail keyword planner",3,,,10,https://backlinko.com/long-tail-keywords,1.3,431000,"2017-10-21 11:32:58",44,,
51,"how to do long tail keyword research",4,,,10,https://backlinko.com/long-tail-keywords,1.2,3150000,"2017-10-22 14:56:25",65,,
52,"longtail keyword finder",5,,,20,https://backlinko.com/long-tail-keywords,1.2,438000,"2017-09-20 11:42:29",83,,
53,"long tail phrases",7,,,20,https://backlinko.com/long-tail-keywords,1.1,1390000,"2017-11-04 09:10:37",59,,
54,"how to find long tail keywords for seo",4,,,10,https://backlinko.com/long-tail-keywords,1.0,8570000,"2017-10-19 15:57:15",57,,
55,"find long tail keyword phrases",4,,,10,https://backlinko.com/long-tail-keywords,1.0,675000,"2017-10-27 11:46:42",68,6.00,
56,"longtail keyword generator",9,,,30,https://backlinko.com/long-tail-keywords,0.81,194000,"2017-11-05 01:07:15",53,8.00,
57,"long tail keyword suggestions",5,,,10,https://backlinko.com/long-tail-keywords,0.80,1680000,"2017-10-17 07:03:20",77,,
58,"what is a longtail keyword",8,,,20,https://backlinko.com/long-tail-keywords,0.74,408000,"2017-11-04 06:43:26",58,,
59,"long tailed keywords generator",9,,,20,https://backlinko.com/long-tail-keywords,0.64,2350000,"2017-10-25 18:57:45",61,3.00,
60,"what is a long-tail keyword",8,,,10,https://backlinko.com/long-tail-keywords,0.54,1910000,"2017-10-17 12:51:51",59,,
61,"long tail keywords generator",7,,,10,https://backlinko.com/long-tail-keywords,0.50,1790000,"2017-10-01 19:07:27",72,10.00,
62,"seo long tail keywords",10,,,20,https://backlinko.com/long-tail-keywords,0.48,723000,"2017-09-16 01:23:17",55,11.00,
63,"what is longtail keyword",9,,,10,https://backlinko.com/long-tail-keywords,0.43,415000,"2017-10-22 17:11:40",59,,
64,"long tail keyword examples",9,,,10,https://backlinko.com/long-tail-keywords,0.37,854000,"2017-10-21 15:21:25",59,,
65,"long term keywords",9,,,10,https://backlinko.com/long-tail-keywords,0.34,401000000,"2017-10-23 11:57:25",59,,
