#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"video seo",1,,,800,https://backlinko.com/video-seo-guide,182,58500000,"2017-10-28 06:23:31",38,4.00,
2,"seo video",2,,,70,https://backlinko.com/video-seo-guide,10,75900000,"2017-11-02 02:11:37",46,5.00,
3,videoseo,1,,,20,https://backlinko.com/video-seo-guide,8,18800000,"2017-11-04 18:32:44",39,9.00,
4,"seo videos",4,,,80,https://backlinko.com/video-seo-guide,7,43400000,"2017-10-29 18:16:15",42,7.00,
5,"video for seo",5,,,40,https://backlinko.com/video-seo-guide,2.8,62700000,"2017-10-31 11:31:19",43,3.00,
6,"videos and seo",6,,,40,https://backlinko.com/video-seo-guide,2.4,45000000,"2017-10-28 13:31:55",45,,
7,"seo for video",7,,,50,https://backlinko.com/video-seo-guide,2.3,83200000,"2017-10-31 16:08:47",37,,
8,"video and seo",4,,,20,https://backlinko.com/video-seo-guide,2.1,18100000,"2017-09-25 02:22:42",51,,
9,"seo and video",6,,,30,https://backlinko.com/video-seo-guide,1.9,17500000,"2017-11-03 23:58:36",39,,
10,"yt cockpit",8,,,50,https://backlinko.com/video-seo-guide,1.8,398000,"2017-11-04 11:29:19",1,,
11,"video seo optimization",7,,,30,https://backlinko.com/video-seo-guide,1.4,10400000,"2017-11-01 14:43:06",46,3.50,
12,"seo for videos",9,,,50,https://backlinko.com/video-seo-guide,1.4,36500000,"2017-11-01 08:38:26",37,,
13,"video seo marketing",9,,,40,https://backlinko.com/video-seo-guide,1.2,6170000,"2017-10-15 17:04:07",39,12.00,
14,"video seo tips",7,,,20,https://backlinko.com/video-seo-guide,1.1,3980000,"2017-11-05 06:40:41",35,2.00,
15,"video search engine optimization",9,,,20,https://backlinko.com/video-seo-guide,0.48,11400000,"2017-11-04 14:39:08",47,7.00,
