#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"google ranking factors",1,,,400,https://backlinko.com/google-ranking-factors,119,8490000,"2017-10-17 22:44:09",73,,"Featured snippet"
2,"google ranking",6,,,1700,https://backlinko.com/google-ranking-factors,80,44900000,"2017-11-01 04:21:24",69,5.00,
3,"google ranking factors",2,1,"2017-10-02 04:30:03",400,https://backlinko.com/google-ranking-factors,48,8490000,"2017-10-17 22:44:09",73,,
4,"seo ranking",10,11,"2017-10-21 08:41:20",1600,https://backlinko.com/google-ranking-factors,40,27800000,"2017-11-04 02:09:31",74,7.00,
5,"google in 200",1,,,100,https://backlinko.com/google-ranking-factors,38,5330000000,"2017-11-03 21:59:45",42,,
6,"google seo ranking",1,,,90,https://backlinko.com/google-ranking-factors,33,7300000,"2017-09-24 11:33:38",83,10.00,
7,"seo google ranking",1,,,90,https://backlinko.com/google-ranking-factors,31,6130000,"2017-10-30 08:47:49",76,14.00,
8,"seo ranking factors 2016",2,,,150,https://backlinko.com/google-ranking-factors,31,6860000,"2017-10-04 01:29:25",83,13.00,
9,"google rankings",6,,,500,https://backlinko.com/google-ranking-factors,27,55700000,"2017-11-03 08:57:05",65,6.00,
10,"how does google rank websites",2,,,150,https://backlinko.com/google-ranking-factors,23,38200000,"2017-10-25 14:51:07",50,7.00,
11,"seo ranking factors",4,,,200,https://backlinko.com/google-ranking-factors,18,13700000,"2017-10-21 16:53:27",55,8.00,
12,"google ranking factors 2016",3,1,"2017-09-19 12:13:52",150,https://backlinko.com/google-ranking-factors,14,2050000,"2017-10-25 08:07:57",81,13.00,
13,"how does google rank search results",3,,,100,https://backlinko.com/google-ranking-factors,14,6550000,"2017-10-23 23:27:40",64,,
14,"google 200",1,,,40,https://backlinko.com/google-ranking-factors,13,5490000000,"2017-10-26 20:35:23",47,,
15,"google search ranking",7,8,"2017-10-01 05:08:44",450,https://backlinko.com/google-ranking-factors,13,171000000,"2017-10-15 06:59:37",70,5.00,
16,"ranking on google",1,,,30,https://backlinko.com/google-ranking-factors,11,4320000,"2017-09-16 20:57:56",76,4.00,
17,"ranking factors",2,,,80,https://backlinko.com/google-ranking-factors,11,24900000,"2017-10-04 12:05:13",88,,
18,"how to rank on google",5,4,"2017-09-13 01:26:47",200,https://backlinko.com/google-ranking-factors,11,155000000,"2017-10-16 17:51:10",41,1.80,
19,"google factor",1,,,30,https://backlinko.com/google-ranking-factors,10,586000000,"2017-10-05 23:52:50",80,,
20,"google factors",1,,,30,https://backlinko.com/google-ranking-factors,10,509000000,"2017-09-19 18:16:24",76,0.08,"Featured snippet"
21,"200 google ranking factors",1,,,30,https://backlinko.com/google-ranking-factors,10,596000,"2017-11-03 11:37:58",48,,"Featured snippet"
22,"google search rankings",6,,,150,https://backlinko.com/google-ranking-factors,10,99800000,"2017-10-02 15:58:16",75,6.00,
23,"seo factors",6,,,150,https://backlinko.com/google-ranking-factors,8,88300000,"2017-10-14 14:52:33",71,,
24,"google search engine ranking",4,,,90,https://backlinko.com/google-ranking-factors,8,10600000,"2017-10-31 04:54:32",86,0.70,
25,"google 200 ranking factors",1,,,20,https://backlinko.com/google-ranking-factors,7,4580000,"2017-09-23 00:14:45",64,,
26,"google search engine rankings",5,,,100,https://backlinko.com/google-ranking-factors,7,1780000,"2017-10-28 23:01:12",75,2.50,
27,"google sites ranking",9,,,200,https://backlinko.com/google-ranking-factors,6,5520000,"2017-10-06 20:12:51",71,3.50,
28,"google search results ranking",4,,,70,https://backlinko.com/google-ranking-factors,6,9020000,"2017-10-27 03:45:50",67,3.50,
29,"200 factors",3,,,50,https://backlinko.com/google-ranking-factors,5,494000000,"2017-09-17 23:23:02",31,,
30,"seo rankings",8,,,200,https://backlinko.com/google-ranking-factors,5,18300000,"2017-10-16 22:31:42",72,9.00,
31,"how to rank in google",6,,,90,https://backlinko.com/google-ranking-factors,5,5170000,"2017-10-30 10:09:21",41,6.00,
32,"google ranking algorithm",5,,,70,https://backlinko.com/google-ranking-factors,5,9230000,"2017-10-29 22:09:20",81,,
33,"google search ranking factors",2,,,30,https://backlinko.com/google-ranking-factors,4.3,2500000,"2017-10-01 18:10:10",77,,
34,"google factors",2,,,30,https://backlinko.com/google-ranking-factors,4.2,509000000,"2017-09-19 18:16:24",76,0.08,
35,"200 google ranking factors",2,,,30,https://backlinko.com/google-ranking-factors,4.1,596000,"2017-11-03 11:37:58",48,,
36,"seo rankings google",1,,,10,https://backlinko.com/google-ranking-factors,3.7,2040000,"2017-10-19 21:29:37",75,16.00,
